class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-4.275354,1.6402234,-1.8290877,-5.7316713,1.5013492,-3.2358336,-12.298,3.261573,-5.2958,-2.1367502,1.0336123,-1.3420134
15.031613,-1.660816,8.36905,-12.022264,3.089178,-5.405037,14.731809,-1.6345961,8.528463,-9.061735,2.7135017,-4.4955206
0.17650956,1.013714,0.3712519,-5.56823,1.6172919,-2.8530765,-2.6323047,1.3817133,-0.03656444,11.2691965,-1.2535222,6.0847836
15.459056,-1.8258488,8.8993635,3.396028,0.58000284,2.1043403,-1.1823363,0.98414606,-0.6339588,-1.4851568,1.1386081,-1.0495064
9.999643,-1.2217584,5.0346484,-6.0274453,2.2257252,-3.1072178,6.9526777,-0.53792864,3.7103083,1.6241229,0.94222677,1.6506258
11.90887,-1.5821769,6.2259417,11.532223,-1.5141065,6.2355814,10.491892,-1.0053394,5.319016,13.888733,-1.7707775,7.502203
2.7646348,0.30414432,1.6400082,9.207828,-0.92442995,4.550474,-10.675856,3.056304,-5.115002,5.9922013,-0.084177785,2.8902903
-9.216187,2.3036244,-4.88782,1.6318145,0.82676405,1.645884,15.714903,-1.8335493,9.242971,9.498648,-0.82084733,5.30102
13.574696,-1.5181501,7.7792864,-7.9761624,2.6565144,-3.0868058,10.461973,-1.202595,5.5692735,14.70594,-1.6799376,7.9128056
6.19269,-0.4404899,2.7144914,-8.373759,2.529515,-3.7189496,-4.71919,1.5690653,-3.3381326,2.324429,0.62032646,2.4579473
-3.7921371,1.7861992,-0.50508976,-8.6626835,2.552752,-3.6110616,-8.752973,2.3916113,-4.5527625,-13.042696,3.3241282,-5.5773144
6.0076523,-0.22620553,2.9969962,11.527328,-0.918341,6.961334,-7.5885587,2.4473784,-3.6402073,-8.91793,2.4818084,-4.489421
-8.353308,2.5142405,-3.9792156,-5.4179173,1.6359873,-3.18924,-8.697999,2.3647575,-4.06299,-8.664785,2.2481759,-4.216179
7.3864055,-0.30284745,4.425826,-9.403549,2.7389433,-4.223171,-3.1852627,1.347852,-1.5661569,9.545049,-0.6464613,5.3167057
-2.7030852,1.4354788,-1.3955617,-6.2154484,1.8626437,-2.2207315,-0.2643072,0.61868215,-0.46597746,-9.287413,2.5268025,-3.6201777
-1.2513773,1.3898656,-0.19245294,11.879136,-1.2670913,6.8110895,13.1187725,-1.361789,7.0060935,-12.479131,3.3291314,-5.7576337
10.234981,-0.93529445,5.8870916,5.8211145,0.043050714,3.8726146,-8.100786,2.2831929,-3.7422504,12.414078,-1.3220408,6.860546
-5.6901436,1.4018836,-3.6156726,-0.6929202,0.72389835,-0.7502471,-6.9818225,1.9233763,-4.0388074,10.445323,-0.7891937,5.338877
14.640336,-1.6023071,8.712166,-12.393194,3.314877,-5.370289,-3.641619,1.5477977,-2.1623976,-11.184728,3.0577369,-5.6307416
14.6096115,-1.6816065,8.160726,-6.219314,1.8831198,-2.459961,15.631019,-1.8711832,9.047656,9.10466,-0.8859642,4.31884
-2.123529,1.2192827,-1.7338862,-10.201059,3.0604832,-4.0947695,13.232948,-1.5126855,7.3282676,-10.819176,2.8306024,-5.9685583
9.983089,-1.1665177,5.368979,-8.927303,2.387224,-3.720248,14.174889,-1.5497463,8.185023,-3.0556116,1.4705608,-0.92053485
17.22969,-2.1978185,9.641392,-10.18247,2.8367631,-4.861285,12.977455,-1.6112874,7.189068,-9.177023,2.5470922,-4.7203913
5.2190127,0.29034847,3.8867655,-12.510843,3.2351618,-5.334675,9.538009,-0.84968024,5.5130005,6.7045627,-0.36249667,3.8869543
11.816143,-1.1455178,6.951914,9.319884,-1.3698635,4.8659515,-10.136412,2.7000203,-4.903228,11.903722,-1.1111658,6.637638
-10.908816,2.794538,-5.7325854,-2.3458824,1.3130348,-0.22961345,8.02966,-0.7634495,4.921606,11.775372,-1.5579615,6.4406624
9.10851,-0.29150373,5.6319227,-12.9501705,3.4286482,-5.6177626,-8.258218,2.0497692,-4.570502,-10.564459,2.9842448,-4.686679
12.540636,-1.5478642,6.2563224,-10.621507,2.662575,-5.848833,6.737016,-0.36438876,4.0523863,15.618375,-1.7797563,8.886758
16.035603,-1.9636447,9.155452,13.589589,-1.5360825,7.2099576,-2.8329287,1.796557,-0.35493258,-2.2146273,1.0424753,-1.0143926
0.004362285,1.0784068,2.1555283,-10.740089,2.7481046,-5.087884,-6.7658854,1.9308445,-4.618059,-0.38620752,0.8908691,-0.1923295
-0.34113377,0.48254746,-0.9305062,-6.971157,1.9683385,-3.162784,6.090308,0.08382029,3.3035905,9.366398,-1.1813395,4.8559656
5.32969,-0.08269017,3.1243587,6.058943,0.022329994,4.628579,14.156163,-1.6317656,7.8570857,-8.918508,2.3577907,-3.8262281
-4.5703692,2.066611,-0.872625,-12.243348,3.3574235,-5.487161,1.7714407,0.42127624,1.0337006,-11.943786,3.2720346,-5.4111395
15.125239,-1.6420295,8.564798,-5.811062,2.1381643,-2.738072,15.103644,-1.7637284,8.555735,-6.7337413,2.089691,-3.0960345
16.60081,-2.071236,9.354621,4.0230737,-0.12095957,1.4931612,15.803167,-2.2960951,8.724454,-5.9553,1.9815602,-2.17311
6.196741,-0.12797886,3.6602242,-11.022887,3.0408986,-5.0450263,10.877537,-0.8599668,6.24688,5.8396645,-0.09877568,3.3811932
13.123861,-1.5937932,6.988243,-11.74475,2.9992466,-5.267233,-12.152961,3.3000479,-5.682081,9.411962,-0.50059706,6.0039797
-3.6308815,1.542875,-1.3431659,7.80688,-0.7187653,4.8571434,-5.042966,1.8390634,-1.8390431,9.936075,-0.82625276,5.310527
-5.146563,1.9792821,-1.4274647,-9.934067,2.6283562,-4.448129,12.1366,-1.3604629,6.33427,15.886543,-1.811208,8.885614
12.065418,-1.5339382,6.5387096,6.084127,0.12397856,4.126001,2.2130384,0.47953433,0.24913034,-8.188199,2.4535592,-2.9929757
-7.0338616,1.975867,-4.186963,-10.808544,2.939952,-4.826671,5.5465016,-0.08518379,2.9430096,-1.127991,1.1673281,0.12447885
