class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
2.7038178,0.8992992,-0.88938856,-1.099281,-0.062253885,-12.804598,-3.5102272,-0.013472967,-16.021587,2.3839831,-0.5536994,-8.526133
0.6361879,0.6548638,3.1474614,-5.125355,-1.3721515,16.204016,3.6878185,1.6539887,-14.911402,-5.846863,-0.55553526,15.42879
-0.82533234,0.6320504,-0.8207177,-3.615831,-0.46804553,11.91754,-2.6420124,-3.445638,13.301565,-3.371307,1.5332762,-7.089041
-0.6395899,3.2443624,-11.3941965,0.03715027,0.9187054,-13.499801,-2.9151752,-3.113092,-9.235598,-0.9833013,1.9658606,-17.198605
-6.7755947,1.9242196,10.994408,-3.598768,-1.3682494,11.019288,-3.3810954,2.0949278,4.5338187,3.993764,3.1617846,-11.762484
-2.3333225,-0.88670146,13.939065,-0.3495475,1.0407192,-16.6879,1.0110992,1.6471983,-10.686438,-0.8388988,0.36477822,-16.452791
-4.7288284,-1.1607419,17.613804,0.42100227,1.129006,-13.573891,0.09573329,4.0595837,-9.670694,3.80504,0.5412367,-2.2502165
2.6025374,-0.6516232,5.782497,1.1016535,0.7345534,-17.68063,-2.652378,-1.1477009,-4.276946,-1.9623232,-1.618975,-0.8311962
3.6278872,2.2179415,-1.0313654,-0.0791999,1.0532699,-15.486266,-0.3330561,1.41922,-13.000937,-1.4156557,1.2272433,3.8952715
3.806524,0.56099474,-2.2169993,0.7065972,2.6266837,-13.109442,-5.1235995,1.0686234,9.604053,-0.38843608,0.4790893,-1.8458691
-6.6765776,1.7482151,13.753027,0.7974385,2.2796576,-10.6535,0.63291395,0.7073415,-16.755138,-3.9588203,1.651126,-9.021872
-1.7286171,0.6599881,2.3641078,1.6079667,0.09112303,0.56278414,-2.2011776,2.3265553,-15.556915,-1.6977612,-2.2582028,13.600342
-1.1145351,0.14331865,4.191919,1.4714655,2.4492314,-17.232897,1.0555496,-0.15070975,-3.987815,-4.3600287,-2.056861,-11.448419
-5.4576354,0.32076865,12.778069,2.6793709,2.7195187,-15.442832,-6.8554816,-4.0134068,7.6967707,-2.0351644,1.5853654,10.384686
-2.3823934,-1.218953,11.689285,0.22748506,1.2473825,-16.209019,0.25998962,-2.2651715,-13.184851,0.6014303,1.2168547,-8.072735
2.4292388,1.0963718,-5.5465965,0.95510185,4.786581,-11.997099,-6.4090176,1.1866982,4.9081335,7.1026115,0.078270026,-1.738442
2.6848996,0.51618683,-1.3182116,0.5524963,-1.1284593,-2.9891117,-2.246645,2.800072,-7.350429,1.7552627,2.3453927,-20.051287
-1.6414975,-1.1510696,7.829481,-3.5013034,-1.8368961,14.215201,-0.6731516,1.4304787,-14.62181,3.4015927,1.3887523,0.5838649
-2.4207072,0.91685814,2.2163532,-0.9584431,-2.8132086,-2.22166,-3.5726726,-1.5973488,-6.2988625,-1.2562176,-2.3475385,-5.6246896
0.36759734,-1.2220234,4.530278,-3.4180262,-0.024315529,-14.440952,-2.5866823,-4.1943684,5.9273453,-1.322447,0.6717984,-11.299965
-1.5948058,0.23243374,12.586218,3.7752693,1.2860962,-0.17500292,0.65200627,-0.04877173,-9.038778,-4.3356943,-0.74874574,17.121885
-4.3564563,-0.20671529,-12.880099,1.1952227,-0.48791778,1.4109539,-9.683762,0.9437781,-1.773592,-3.0215783,-0.048213296,4.3739634
2.6497302,1.6080709,-8.962196,-3.5543413,0.013235636,5.950967,-7.7222986,0.5895074,7.366333,3.0356727,0.6960594,-1.6992263
0.071843155,-1.5862976,5.155915,0.8122628,-1.0040925,1.6077986,5.532297,0.99496275,-13.367947,-3.399916,-0.596507,-9.483357
-7.3562694,0.31733638,16.936764,3.6979918,0.15895027,-3.5894263,2.0827837,2.110335,-5.924371,-4.7800417,-2.6716762,11.352237
2.550105,0.88402635,0.37017328,-3.096663,-1.9385542,8.037208,-1.6744229,-1.3878846,-12.963063,0.5799018,2.8699317,-4.5856123
-1.0500069,3.2071848,1.1124301,1.9888343,2.0631602,0.54694575,-2.6140163,-1.4550663,-8.515148,-0.9229213,-0.59686667,-9.12948
