class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.67325264,-0.0080074,-0.79968786,-0.6737582,-0.02895752,-0.7923613,-0.65185934,-0.0066614933,-0.7749029,-0.64530534,-0.009836927,-0.7653654
-0.6516063,-0.015305445,-0.7715912,-0.63662785,-0.0056597777,-0.7581635,-0.74435693,0.024739362,-0.88681436,-0.6790182,-0.013014458,-0.8036545
-0.63599193,-0.0047113895,-0.75907475,-0.639531,-0.005169358,-0.7639264,-0.67615145,-0.0056242794,-0.8041728,-0.6364688,-0.011253133,-0.7702987
-0.68413275,-0.014766846,-0.8053828,-0.69713336,0.009054154,-0.834229,-0.7539969,0.013770521,-0.8805266,-0.640431,-0.004636787,-0.7651009
-0.7073875,-0.030856952,-0.8237798,-0.63915503,-0.0025216825,-0.7628546,-0.674727,-0.013441969,-0.7958435,-0.64685476,-0.005884975,-0.7697858
-0.65693456,-0.02418039,-0.7746622,-0.6335184,-0.004870057,-0.7566017,-0.63379127,-0.006709084,-0.75582135,-0.64845544,-0.0044251643,-0.77404255
-0.6352723,-0.003862191,-0.75893617,-0.71691465,-0.05685366,-0.81988233,-0.6155829,0.0071092844,-0.7414427,-0.6521798,-0.01100992,-0.77507645
-0.6316068,-0.005619351,-0.75401014,-0.67173177,-0.019659609,-0.7951929,-0.63859487,-0.008891072,-0.7575729,-0.6479741,-0.0019444339,-0.7730083
-0.66775614,-0.0069693103,-0.7952498,-0.6722205,-0.02427305,-0.78725594,-0.6984696,-0.006003592,-0.8217062,-0.6513681,-0.00661397,-0.77629495
-0.63742113,-0.0031805038,-0.76056117,-0.66371167,-0.0216625,-0.78457624,-0.6374386,-0.0048917755,-0.76187015,-0.6444736,-0.0011236407,-0.76953024
-0.6295718,-0.010998029,-0.75022614,-0.6808136,-0.011327006,-0.80457616,-0.6726492,-0.031567603,-0.79141134,-0.6512205,-0.00410619,-0.77732044
-0.71350646,-0.017747834,-0.8343234,-0.66621953,-0.005458005,-0.7908809,-0.73537785,-0.012732938,-0.8593439,-0.66909045,-0.026224595,-0.7837222
-0.640692,-0.0003130585,-0.767618,-0.6602025,-0.024373256,-0.778449,-0.62931275,0.008691531,-0.7546316,-0.64470804,-0.008876059,-0.76545036
-0.6840173,-0.018156372,-0.8069704,-0.6485365,-0.0007420629,-0.7745723,-0.75899315,0.012024626,-0.88812053,-0.6524181,-0.0039963797,-0.7788377
-0.6383152,-0.00085638463,-0.76457494,-0.65317994,-0.007787019,-0.7786026,-0.6636286,0.00076913834,-0.79094017,-0.6949036,-0.025770586,-0.81273884
-0.66670614,0.014889564,-0.8000039,-0.6653621,-0.01375306,-0.7855424,-0.6443229,-0.01741245,-0.7693592,-0.64410365,-0.004302036,-0.7689961
-0.67001784,-0.022464238,-0.78997165,-0.7163717,-0.01364357,-0.84233767,-0.63479453,0.013806339,-0.7657542,-0.7003356,-0.022609875,-0.81987786
-0.7106281,-0.030508157,-0.82546985,-0.6459225,0.0011070557,-0.7723436,-0.675567,-0.025240742,-0.7917437,-0.6420478,-0.0029983297,-0.7662205
-0.634322,0.0007781908,-0.7612989,-0.70075303,-0.024129353,-0.8216125,-0.63453096,-0.0039538033,-0.7583936,-0.63413525,-0.0040817633,-0.75933665
-0.7045443,-0.042378504,-0.81401116,-0.66455436,-0.002325464,-0.7912261,-0.6295756,-0.006480068,-0.7517085,-0.6378498,-0.011305034,-0.7584437
-0.64923483,-0.0054371096,-0.77484035,-0.6582981,-0.0033261143,-0.78605396,-0.6230349,-0.0096514635,-0.7453191,-0.67375845,-0.010190997,-0.7960944
-0.65801334,-0.008080978,-0.78290105,-0.6606756,-0.006467659,-0.78656775,-0.6276468,0.007940181,-0.7532536,-0.6784545,-0.012426451,-0.8027864
-0.63300806,-0.0023520216,-0.7578525,-0.6377911,-0.003372781,-0.760861,-0.6473579,-0.011530109,-0.7671672,-0.6375796,-0.006487705,-0.75950706
-0.6500764,-0.009070285,-0.7711496,-0.7050455,-0.061042167,-0.80698526,-0.6730035,-0.010452226,-0.79528123,-0.6812683,-0.0011174232,-0.8139784
-0.6464036,-0.00928925,-0.76896733,-0.68466485,-0.030362085,-0.80016154,-0.65816647,-0.0016337931,-0.7859509,-0.6528705,-0.006608855,-0.7780365
-0.6310039,-0.0090741515,-0.7533536,-0.64389056,-0.013307158,-0.7641757,-0.69203794,-0.0047219247,-0.8185997,-0.64086336,-0.004517801,-0.76439583
-0.6905777,-0.017542236,-0.8122521,-0.64866567,-0.017112065,-0.765706,-0.67574567,0.001234591,-0.8055314,-0.6418164,-0.0017245598,-0.767806
-0.65046483,0.00034110993,-0.77890927,-0.7060623,-0.0030099861,-0.8360234,-0.62542963,-0.0074668415,-0.7534875,-0.6579706,-0.007752273,-0.7832289
-0.68068564,-0.015829273,-0.8035857,-0.7102453,-0.02113501,-0.8286116,-0.6372829,-0.0077611096,-0.7576114,-0.6455153,-0.0020080954,-0.7720281
-0.40620714,0.030541345,-0.505679,-0.7102514,-0.01635541,-0.8308136,-0.63713074,-0.0037320144,-0.76026356,-0.6761927,-0.008392446,-0.80407345
-0.6447177,-0.021625508,-0.7594766,-0.68936497,-0.032921426,-0.8016482,-0.61136323,-0.0020091012,-0.73437625,-0.63282114,-0.0060510635,-0.755964
-0.6572456,-0.004110895,-0.7822298,-0.66115177,0.014802828,-0.7980843,-0.6252032,0.004860159,-0.74971443,-0.6909316,-0.016465679,-0.8122368
-0.6782322,-0.004424114,-0.8097914,-0.6314568,-0.0069876984,-0.75405693,-0.6888346,-0.006612405,-0.8126138,-0.6622118,-0.008545302,-0.788427
-0.6530681,0.0036315285,-0.7836894,-0.41068953,0.9020687,-1.0124801,-0.62997,-0.028214168,-0.746224,-0.6452802,-0.0044658184,-0.7690603
