class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.10981516,-0.06573091,-0.053217456,-0.10989649,-0.06595401,-0.053413518,-0.10986797,-0.06580227,-0.053510018,-0.109769985,-0.06575935,-0.053214885
-0.109895475,-0.06577593,-0.053478505,-0.10977468,-0.06576977,-0.05328124,-0.10998432,-0.0658301,-0.053407982,-0.10975215,-0.06496841,-0.052669093
-0.109867476,-0.06575078,-0.05336647,-0.10971861,-0.065726586,-0.05333291,-0.10977146,-0.06575642,-0.0532147,-0.10986554,-0.065749146,-0.05336607
-0.109942645,-0.06588001,-0.053375307,-0.10988093,-0.06567963,-0.0533005,-0.10989054,-0.06572048,-0.053363774,-0.109722055,-0.065658174,-0.05334924
-0.109846644,-0.06564828,-0.053291664,-0.10984922,-0.065651014,-0.05329418,-0.109814644,-0.06577633,-0.05332618,-0.10996512,-0.0658522,-0.05340216
-0.109788895,-0.065633915,-0.053344034,-0.109924085,-0.06588618,-0.05336602,-0.109859996,-0.065671794,-0.053264514,-0.109865054,-0.06575151,-0.053369153
-0.10984937,-0.06585295,-0.053535163,-0.10984217,-0.06565557,-0.05332745,-0.109890595,-0.065746754,-0.05337935,-0.1098775,-0.06567395,-0.053293087
-0.109898694,-0.06593763,-0.05345619,-0.10988881,-0.06574213,-0.053376958,-0.109882265,-0.06578862,-0.05348335,-0.109899156,-0.065929286,-0.053409036
-0.1098879,-0.06580038,-0.053363856,-0.109902255,-0.06591347,-0.053443935,-0.10988084,-0.06582184,-0.053377375,-0.10984548,-0.06569536,-0.0532536
-0.10994204,-0.065869175,-0.05337465,-0.10977262,-0.06577027,-0.053280395,-0.10986674,-0.06574367,-0.053336095,-0.10978052,-0.06575357,-0.053224195
-0.109789215,-0.06576314,-0.053325724,-0.10987726,-0.06574137,-0.053373203,-0.10977625,-0.06576945,-0.05328191,-0.10994099,-0.06584767,-0.05337377
-0.109866224,-0.06574837,-0.053367462,-0.10987391,-0.06566997,-0.053286936,-0.10968796,-0.066203065,-0.05319313,-0.10988845,-0.065805115,-0.05353218
-0.109890565,-0.0657468,-0.05337932,-0.109891154,-0.06581201,-0.053364474,-0.10972631,-0.06698144,-0.053379733,-0.10982993,-0.06564285,-0.05332284
-0.10985511,-0.065749325,-0.053359635,-0.109842956,-0.065694876,-0.05325021,-0.10990167,-0.065919384,-0.053446945,-0.10985777,-0.065866575,-0.05350726
-0.10985307,-0.06573779,-0.053361915,-0.10983923,-0.06570925,-0.05334341,-0.109993145,-0.06583139,-0.053449545,-0.10997221,-0.06580214,-0.053424407
-0.10998077,-0.06582416,-0.053405788,-0.109882966,-0.06578701,-0.053481035,-0.10985619,-0.06565186,-0.053254873,-0.1096995,-0.06567536,-0.053352688
