class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.0042161895,0.1197346,0.041373532,0.0040293364,0.11984489,0.04142265,0.004171379,0.119650915,0.041284434,0.004186352,0.11978246,0.041385565
0.004184637,0.11969692,0.041357256,0.0039924937,0.11978333,0.04137277,0.004253839,0.11978324,0.041441433,0.004029728,0.11985232,0.041417543
0.0040880074,0.11978796,0.041380055,0.0041285497,0.11970356,0.04132279,0.004256059,0.11977791,0.04139591,0.004152882,0.11964865,0.04127525
0.0040824367,0.11979012,0.04141755,0.0039418507,0.11978343,0.04133824,0.0041088085,0.11977711,0.041426774,0.0042436086,0.1197401,0.04135897
0.0039307787,0.1197727,0.041325383,0.004147362,0.119675,0.041340202,0.004145054,0.119679816,0.04128206,0.0042769057,0.11982759,0.041395828
0.0039340514,0.11978559,0.04133426,0.0041505205,0.1196843,0.041338634,0.0039628525,0.1195803,0.04143622,0.0041793827,0.11969918,0.041366458
0.004023635,0.11994421,0.041447844,0.0038902368,0.11979876,0.041312583,0.004112948,0.11975493,0.041408613,0.004013718,0.11986593,0.041418012
0.0040355367,0.11984322,0.041419163,0.0039794645,0.11977231,0.041359253,0.0043260185,0.11993636,0.04142734,0.0039748335,0.11976014,0.041334696
0.004179815,0.11969565,0.04136681,0.0039748065,0.11976589,0.041343834,0.0037785019,0.11977537,0.04135219,0.004052096,0.11977072,0.041372404
0.004202232,0.119725205,0.04137704,0.004136481,0.11968355,0.04130421,0.004229079,0.11975935,0.04140723,0.004255297,0.11980021,0.041417383
0.0039922725,0.11982958,0.041389782,0.004081043,0.11976306,0.04139256,0.0032362328,0.12029451,0.041557726,0.004248532,0.11980242,0.04140666
0.004151283,0.11964045,0.041258186,0.0041531534,0.11965616,0.04130408,0.0041716555,0.11964978,0.04128118,0.003904004,0.119821995,0.041345704
0.00416452,0.11976091,0.041373722,0.0041700937,0.11965017,0.041273385,0.0040266234,0.119848505,0.04142221,0.003938613,0.11978381,0.04133712
0.00415158,0.11973946,0.04136772,0.0041852836,0.119694196,0.04135202,0.004058282,0.119892806,0.04131784,0.0038924483,0.119788654,0.041299876
0.004143888,0.11968193,0.041349206,0.0041824235,0.11967596,0.04133304,0.004151359,0.119664066,0.041308593,0.0039931284,0.11982354,0.041391518
