class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.0044494476,0.08118828,-0.10522627,0.0041309725,0.08117235,-0.10498496,0.0041490025,0.081192486,-0.10498763,0.0028870613,0.08290678,-0.10429405
0.0034038313,0.08160338,-0.104511656,0.0041612145,0.08118327,-0.105002634,0.008510819,0.084263496,-0.10945029,0.0041422946,0.08117586,-0.104990356
0.005532274,0.08692338,-0.112265475,0.008602674,0.08683816,-0.11380849,0.0028290544,0.083262295,-0.10429732,0.0080938265,0.086791195,-0.11361081
0.004158287,0.08120244,-0.105001405,0.013656169,0.08884011,-0.11393062,0.00858889,0.086853094,-0.1137991,0.002806696,0.08347379,-0.104265384
0.0027519744,0.08379841,-0.10432636,0.0041542673,0.08118935,-0.10499088,0.008594092,0.0868424,-0.11379562,0.008581973,0.08684772,-0.1137992
0.00346652,0.08152677,-0.10454986,0.008596283,0.0868479,-0.113801405,0.0041462155,0.08118387,-0.10499687,0.004657155,0.08124762,-0.10537397
0.0130611425,0.088461034,-0.114169806,0.009482133,0.09012339,-0.113890536,0.003395868,0.08176507,-0.10456861,0.007837944,0.08412872,-0.107882164
0.003342317,0.081680246,-0.10447341,0.008622097,0.08685399,-0.11384162,0.008607205,0.08684133,-0.11380652,0.0050418302,0.08703622,-0.111947455
0.0034998632,0.081471734,-0.10456615,0.008612212,0.08686083,-0.11380894,0.010963881,0.085924104,-0.11152842,0.00990637,0.0870858,-0.11418355
0.0041365647,0.08118039,-0.10497866,0.0041382527,0.08118394,-0.10498066,0.0037950673,0.086699165,-0.11079532,0.004146377,0.08117987,-0.10500188
0.008594576,0.08685345,-0.11379748,0.003344722,0.08167221,-0.104482725,0.0041462155,0.08118387,-0.10499687,0.004136439,0.08118418,-0.10498897
