class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.5552076,-2.9469569,1.34429,0.016315445,-12.173585,4.2331343,-0.7897975,-13.85051,4.8050528,1.1472603,3.0086951,-1.0573369
-0.38520932,-13.839524,4.7505946,2.752047,11.862546,-4.7206774,3.0688152,16.593996,-6.7899923,0.45337105,-1.3152632,0.5919462
-1.1470219,-17.801258,6.715145,3.2106006,16.646147,-6.4234734,0.28774703,-6.819904,2.5778992,1.0257106,0.03463459,-0.057898894
-0.6458597,-12.083207,4.6798472,0.9382261,0.77650535,-0.035851434,-0.77735054,-13.260087,4.648031,0.41466433,-8.269131,3.5914865
-0.28736854,-11.81445,4.7716007,2.0920367,10.949995,-4.2472277,-0.28587687,-16.826496,6.836038,1.9027416,9.154798,-4.2165947
-0.39590883,-11.119108,4.2208185,1.2405787,5.9487214,-2.7482035,1.5547472,9.779032,-4.5721455,0.7839569,-3.8186398,1.6157002
-0.7933572,-13.383348,4.497656,1.3073969,4.599087,-1.5619097,0.54334,-7.1940904,2.103346,-0.34846336,-11.020263,4.218668
0.3388068,-6.5182447,2.472454,-0.32915115,-11.936115,4.0903807,-0.49786413,-13.191771,5.442649,0.3094616,-8.734551,2.4978664
0.1290365,-10.279234,3.715532,0.80227685,-2.4282093,1.0163777,0.69934875,-1.860153,0.56257826,0.49812448,-2.4474633,0.16707747
0.32963008,1.3341467,-0.36025453,-0.70532817,-15.708209,5.854905,0.035394028,-10.343657,3.8053231,-0.801399,-16.192968,5.928643
1.0642227,0.6355629,-0.53465873,-0.45163226,-12.500515,4.6499386,0.90974295,-1.507207,0.5262383,-0.39202487,-11.606518,4.376525
1.3169913,-0.27492663,0.12066482,2.5761826,18.724754,-7.5151873,1.3616451,2.1475642,-1.2778971,0.5199492,-7.269281,2.5472577
0.5196662,-9.230268,3.0396183,0.01226376,-4.4162264,1.6816524,2.5296412,11.225816,-4.3419943,1.4219886,4.7910614,-3.1972892
-0.91757965,-18.004635,7.198298,0.80656385,-0.43396443,0.33233684,-0.3782251,-11.274543,3.971742,0.7847364,0.061137646,0.007145837
-0.6176632,-13.45748,4.9265437,2.394462,8.709223,-3.1228542,0.4177224,-6.5956845,2.4987392,0.581062,-7.392949,3.2506666
-0.7059281,-17.65464,6.363638,3.1209083,14.584357,-5.3312593,-0.5216567,-13.328084,5.322194,-1.1725022,-18.625168,7.111042
0.5847557,-3.6999266,1.0343496,-0.15678076,-12.372276,5.3047457,0.4903605,-0.80018413,0.42504263,-0.35177326,-15.007189,6.0123577
0.022589847,-3.423465,0.81583333,2.4432623,15.365675,-6.424443,0.018023774,-10.479566,4.718735,0.7958859,-1.9946437,1.1180682
-0.18257464,-5.18161,1.1299062,1.5846046,4.8965087,-2.0156217,0.49485338,-1.8924809,-0.45845795,0.008580759,-6.0767465,2.7166443
0.8663161,1.8560923,-0.849735,-0.6661372,-12.611309,5.191511,-0.37057108,-13.704821,5.232039,-0.38670576,-8.913311,3.5376575
-1.0863992,-19.181458,7.0123463,-0.16121282,-9.290649,3.9406707,-0.5436177,-12.016957,5.074293,-0.7075985,-17.264286,7.141185
0.8916389,-0.09676471,-0.517212,0.058381423,-9.28613,3.2760284,0.064809486,-5.411947,1.4599401,1.1200686,3.8242095,-1.4321408
2.533968,14.218064,-6.1561756,2.886088,17.615204,-7.16089,0.0500644,-10.6648245,4.384702,0.7606181,0.42691925,-1.0300413
3.0687218,19.201002,-7.5262804,0.7254448,-5.76621,2.2926004,-0.87152874,-17.171032,6.2681823,0.07451229,-10.18149,4.466641
-0.42115778,-11.863026,4.8671865,1.696596,7.049617,-2.4862745,0.4304481,-5.409778,2.1870477,0.3118307,-6.595612,1.7347224
0.12545316,-8.09876,3.6267698,0.8662419,0.43046358,-0.94744706,1.9622177,13.133263,-5.768025,0.33768618,-8.635831,3.1639054
0.8242204,-3.6891387,1.266092,1.539121,8.048405,-3.3026702,2.4041166,12.291223,-5.2176447,3.5512743,17.60294,-6.7658906
-0.6797958,-14.199234,5.174783,-0.24500118,-10.337356,4.622734,0.36543405,-8.627489,3.5114503,1.9094244,8.213003,-4.2366567
-0.28179938,-15.634083,5.5220294,0.72351724,-5.188539,1.334511,0.003074661,-9.346511,2.664737,2.6276674,11.4919195,-4.2092714
0.60993254,-2.6921813,0.96836877,3.5252085,21.035501,-8.001657,-0.40177673,-9.632735,3.890073,0.03849159,-8.335904,2.9558387
0.9365024,1.3568817,-0.45284486,0.3325084,-7.020499,1.8961296,-0.59224963,-14.894566,5.577321,-0.56571525,-13.798731,5.7868958
0.65432453,-2.1980128,0.556194,0.01665847,-9.778908,4.2588763,-0.12218408,-10.202602,4.2563086,-0.15660597,-10.543208,3.6447022
0.18896554,-7.377853,3.5490484,1.654125,11.462261,-5.302706,0.5182974,-6.1924276,2.5807097,0.42600292,-1.8943809,0.5445604
-0.4099924,-7.450813,2.236833,1.1565481,3.5214856,-2.1477668,0.6364685,-3.0635,1.5736067,2.0238917,8.973646,-3.1516864
-0.17446406,-10.610526,4.671455,-0.9736947,-16.41416,6.8172507,-0.57469594,-14.350219,4.434066,-0.65544,-16.146591,6.4559927
-0.67021394,-12.063147,4.7570925,-0.349333,-13.211078,4.6891594,-0.8346196,-16.319784,6.478303,2.8999891,15.493295,-6.477442
2.1218207,9.871623,-4.1199455,0.3502413,2.5040293,-1.31025,0.58300304,-3.019397,0.91570294,1.0556458,-3.0844352,0.577664
-0.0021548271,-5.679907,2.3856218,0.5068376,-8.692182,2.5870745,-0.14530294,-11.00478,3.662875,0.7026614,-4.632676,2.2200344
-0.3689444,-12.527808,4.5986304,-0.39526844,-7.7004824,2.761655,1.2941704,5.6854563,-2.7002938,-0.3708734,-10.993652,3.996424
1.1816335,0.7932278,-0.49024224,-1.0323719,-17.550682,6.592006,-1.282245,-22.358904,8.458786,-0.6049977,-11.406993,4.2531776
0.7679903,-1.9719508,0.8312924,1.84192,6.9197655,-3.1677737,-0.21452029,-9.123441,3.1920645,-1.1545485,-19.98278,7.56532
-0.6838866,-15.789248,6.287788,2.403286,15.168395,-6.3530684,3.5800955,20.08165,-7.409202,0.24529046,-5.6099496,2.68127
1.0630457,-2.400431,0.81359535,2.459,14.266975,-6.489541,0.31001133,-3.1321368,1.75721,1.3489337,2.39232,-0.52251166
1.0774759,2.125844,-0.47630507,2.8255548,19.685915,-7.9054136,-0.7555505,-16.23554,6.8224053,-0.010598198,-11.970863,4.951988
-0.29027176,-5.6697693,2.5748453,1.7528576,9.780505,-4.3979363,0.9742001,2.5455272,-0.87578934,0.6003525,-7.7065163,2.6967785
0.399692,-6.2043996,2.3724186,-0.38772458,-9.662115,4.068212,0.20382147,-9.489098,3.723158,1.8297814,6.6899076,-2.4089139
0.35779935,-3.8250108,1.465541,0.53146064,-8.279776,3.131655,-0.970981,-17.961023,6.771082,0.6502821,-3.1519873,1.2033207
-0.4340824,-15.328628,5.7730646,0.34322315,-5.3008246,2.7871923,-0.36736047,-14.351095,6.04949,0.18645762,-10.12483,3.228116
2.9931939,13.952062,-5.1732507,1.6835634,8.057703,-3.1314824,-0.23852406,-13.037861,5.2292967,0.8186959,-3.6345723,1.1722766
0.9143745,-3.1698482,1.1394929,2.788867,16.75552,-6.23079,-0.5318924,-13.683603,4.817199,2.6097326,11.472373,-4.563433
-0.59072953,-9.914073,3.485514,3.3289025,21.846613,-8.506295,3.4321237,20.795214,-8.142477,-0.56797475,-12.145076,5.1160774
0.19973119,-4.444396,1.894424,0.9175595,1.5455687,-0.10317342,2.472795,15.6675,-6.8458805,-0.09452914,-11.315919,4.28897
3.0755801,13.222082,-4.67117,-0.76730305,-15.590887,6.6003327,-0.58345914,-10.188591,3.5645611,0.9331613,-1.6077974,0.5700102
-0.42695326,-13.4070835,4.6216097,-0.11909978,-8.381987,2.6119583,-0.22028483,-7.606555,2.5994658,3.4946747,19.776133,-7.459665
0.16192792,-6.7054534,2.4196572,1.0116421,2.928291,-1.4685537,0.30551344,-0.3954865,-0.8880883,-0.41221786,-11.544501,4.855686
-0.3531881,-13.534496,4.504817,1.3399332,4.941902,-2.1379125,0.69339937,-0.6417431,0.3918916,0.4988345,1.68148,-1.0784365
-0.5780479,-13.656591,5.290944,0.029425785,-8.572261,3.050406,1.8709542,7.935437,-3.000512,-0.14773639,-10.42668,4.41007
0.42962635,-2.7680554,0.95982707,2.6081693,19.406376,-8.01769,1.5358746,6.5783844,-3.3944318,0.8684498,-0.87729895,0.3309741
-0.6678146,-16.843807,6.287468,1.0564187,5.787929,-3.1052403,0.30804288,-4.8962197,1.5432127,0.9633115,1.7841214,-0.98789424
