class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
1.0909349,-3.178445,0.48198247,-3.8579047,5.2792807,-1.524046,-7.0817456,11.455058,-3.2710109,4.8801394,-14.341758,2.8450184
3.8199236,-14.202683,2.695301,-6.1368213,10.356385,-3.1386757,-8.825974,19.950613,-4.753216,0.39178404,-3.1978974,0.7891512
-4.8480887,5.9163733,-1.8541666,2.5241277,-12.654102,2.2484884,2.6026444,-12.784169,2.2867446,4.8237343,-16.66506,3.3709235
2.4345424,-8.998289,1.2528468,3.1319842,-16.1644,3.0343084,-5.4191813,8.47705,-2.993722,-2.5681055,2.341993,-1.5053469
-2.453098,3.7965019,-1.2825519,-0.024551801,-6.359377,0.5306585,-4.203543,2.6661413,-1.548217,-1.019548,-2.536447,-0.6509278
2.7103765,-10.648149,1.897668,0.6626753,0.031349838,-0.55714625,-9.748171,18.540882,-5.0579042,-6.036856,11.842372,-3.3606997
-3.9657598,4.8951273,-1.7345053,2.8529544,-6.5704947,1.2243736,-1.6196028,-1.0382669,-0.32826722,-5.8876977,11.047557,-3.0880003
3.042912,-11.047292,2.2206526,-1.2433304,-6.2686253,0.5447594,-9.452372,19.81366,-4.978815,0.9620183,-3.3810863,-0.0035639405
2.0955026,-9.102056,1.8678659,1.8981674,-6.4680405,1.2325948,-4.585364,7.5341444,-2.180458,-2.3449252,-1.6029375,-0.94034064
1.1300732,-3.947222,0.9186684,2.141031,-8.761922,1.660821,2.6663888,-12.323354,2.3455448,2.7775793,-12.915534,2.2805276
-0.5692127,-0.23448071,-0.37818176,-1.4077758,1.3542356,-0.56003904,-0.2789635,-2.1387153,-0.0880156,0.4831931,-1.436419,-0.05246684
2.0087113,-9.485375,2.180488,-0.62345225,-7.497946,0.6917461,2.1965568,-9.2434435,1.5788063,-2.8059132,2.9365606,-1.6700964
0.35766473,-4.073126,-0.17647482,1.1831411,-8.674705,1.0689476,-5.5207744,8.287842,-2.7247114,0.6665718,-5.2009745,1.0025946
-2.0984519,0.8568471,-0.894614,-6.6792703,20.912344,-4.399996,-1.0436305,-1.0680277,-0.23083758,-3.3853045,-0.8844363,-0.9866165
-0.95143306,2.9600565,-1.31375,-0.7756079,-4.0982504,0.13108465,-1.6370108,-3.035735,-0.0318807,1.7631547,-4.662416,0.48163545
2.9828746,-12.509222,2.1201782,2.311335,-10.878348,2.158865,-5.5409193,9.628355,-2.4690151,3.558837,-12.480479,2.1381617
0.04009468,-2.7260015,0.23753744,-0.03962081,-4.3298316,0.37372684,-9.52191,19.814829,-5.0182543,-5.1461496,13.777736,-2.4336104
2.7838795,-12.20403,2.7633972,-6.7131677,13.405108,-3.5875854,-6.447719,11.845255,-3.1893315,2.8367083,-12.966467,2.2026587
0.6724627,-3.549778,0.05900973,-6.836444,13.953088,-3.7858348,-1.3472506,-0.0975402,-0.4034389,0.1308192,-4.2276506,0.10728659
-4.6018515,5.7577367,-2.1969948,-9.742496,20.542986,-5.12307,-0.40408114,-1.9770083,0.2273682,-5.5957656,6.995347,-2.3751717
2.8173935,-12.779883,2.3865147,-7.162684,10.980505,-3.4924107,-2.9479058,2.1134965,-1.0764418,1.8232454,-9.50638,1.3203853
1.3277745,-10.148126,1.7492471,-7.6001077,19.085485,-4.3620734,-6.5857067,16.948816,-4.0308857,-1.9777417,-3.4803708,0.068689585
0.31258506,-3.2300289,0.5241751,1.751995,-12.007272,1.9080864,0.46338397,-6.505722,1.1919477,-0.4978767,-2.666278,0.31609708
2.4952455,-13.526291,2.4745078,-4.5575004,6.0124164,-1.8691672,3.2381406,-9.971047,1.8837723,3.0274127,-12.039445,2.2130308
2.6705604,-11.327858,2.0426183,-1.4397603,-2.075339,-0.12176706,-4.7955017,7.1326165,-2.1411033,2.7246158,-13.285766,2.6263595
0.81959647,-6.8261375,1.4089581,2.498158,-9.899835,1.6676418,4.100096,-12.884577,3.054615,3.7884753,-16.191702,2.8871007
-1.6267854,2.7460277,-1.3793008,-2.0415494,-1.8301988,-0.63849044,-5.350412,18.585117,-3.5311651,0.074561335,-1.5669379,-0.0579933
2.0223167,-6.348633,1.4327723,4.2378445,-14.133676,3.1142745,-8.322507,22.08135,-4.8997407,-1.5610025,-3.7587864,0.11659236
-2.6648762,3.8183634,-1.1290052,-5.6300807,8.322822,-2.880899,-7.2172728,12.94041,-3.4676418,-2.3456044,3.7997134,-1.5395924
