class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
7.108958,19.225552,0.31466788,7.497037,26.833998,-1.420173,2.5396488,8.264169,0.9304368,-2.348155,6.6425395,1.1641434
-17.033072,-35.470352,3.693411,-1.6444424,2.3873992,0.94492286,-5.125074,-7.157251,0.21208374,1.7901547,9.731295,0.97079057
-3.0392032,-4.8697276,1.183354,-6.2711463,-12.226725,5.4771285,-2.3838956,6.5814714,1.7485927,3.8091586,9.323591,-2.3354661
-4.0789523,-4.33085,4.4731493,2.646682,4.273705,1.6884784,3.8637917,15.513763,0.01049082,4.8338823,24.568365,-1.150195
-15.222393,-30.57853,-0.621527,-5.561939,-10.464826,3.9325354,-1.5596828,6.6252766,-2.3711038,6.9926476,17.929356,0.39934796
-14.28749,-28.943354,4.2365055,-2.028794,7.527815,1.1529065,7.741352,25.520525,1.0522305,-2.4308274,6.909213,0.66365904
-15.01126,-29.905127,-0.96580535,-12.609724,-24.975054,2.1847332,-10.257288,-15.808443,0.4962799,4.9076667,16.047884,0.57978123
3.9798157,19.065403,-2.6167648,-8.431231,-15.203775,4.83969,-5.1522613,-4.611816,-1.3977107,4.552568,23.805387,-1.0292257
-16.765442,-33.543434,2.2512128,3.0101433,10.8598995,1.7445761,2.335093,13.804125,4.0868797,0.6597128,7.7052503,2.0250063
-4.8405185,1.0204427,-0.2886899,4.8426065,13.128821,0.9537243,-0.5481374,-0.7283975,7.7742577,6.223451,24.465443,-0.015194729
-1.2420474,6.6249814,2.7841198,-2.298823,-3.1165178,-0.010750011,-5.4215856,-9.978863,2.9048412,-3.5509148,4.443744,2.6330378
-16.556385,-31.998148,1.2961079,0.89065576,5.305138,0.13131063,-9.954237,-22.400473,5.534374,1.4477277,0.866942,1.2210107
-4.344253,0.4172133,3.427822,-0.43503124,-2.1582534,2.5685203,1.939894,15.3296585,-0.29638082,-2.2491608,0.16880605,2.8698092
1.8192494,10.285474,-0.01116617,-0.24256714,8.13324,5.1387672,-1.4270331,6.5009522,1.0856494,3.5023663,22.614061,-3.9698157
-12.911562,-24.173706,2.829003,0.25829744,2.2133033,5.4325337,-2.6251185,0.65852803,0.72645193,-4.2318645,4.2575064,0.79531974
-1.3832753,-3.7358098,2.3252103,2.94915,11.283774,-0.4777704,0.8757081,5.611299,2.1086018,8.001801,25.168428,0.35347813
-16.235304,-33.04551,-0.27895528,6.317146,23.770193,-2.6594868,2.5807288,16.894726,1.6182982,-6.1229053,-1.3803571,1.4170951
-7.1163044,-6.4661655,-0.7340742,2.9178975,8.824343,3.0566046,0.8690418,3.1160266,0.5458832,3.3490975,10.535518,2.9936361
0.2920149,0.7267998,-0.8210423,5.740042,19.973316,-0.535415,-3.53174,-2.3637435,-1.2763679,-2.4416811,-5.1951666,9.599857
-1.0486107,3.845308,0.788357,5.2525077,19.783705,0.005045578,-0.8230441,3.2310932,-0.8385003,-11.263422,-22.764612,4.3927193
1.0260519,5.947414,3.627004,0.26145434,3.6726592,5.1372714,5.477328,23.68629,-0.94652873,-2.552028,6.2446113,1.0918146
-6.5709887,-14.025128,4.7606087,-6.916797,-17.378174,0.42351168,6.1551714,19.774536,-2.1129632,7.0225253,22.857119,0.97945565
-2.7042215,2.9904957,2.4339356,-7.274796,-12.4871435,4.5351605,3.184511,16.812197,0.47169894,-3.6727166,-4.0508056,1.1979052
8.240263,23.952845,0.6647741,-0.5670098,1.5325288,0.92266124,-1.5835761,8.787097,0.58927435,-0.8983258,9.782367,1.738521
-11.184636,-21.264921,1.0000917,-4.356339,-3.2439866,0.36552864,-5.185263,-9.31196,-0.34048587,2.5583334,16.341755,-4.4571605
-0.07211734,2.596931,3.1754255,1.9298124,8.028737,2.1828551,9.118334,27.125349,-0.7282217,1.7741332,-3.5130444,2.1964648
-2.1458244,-8.286753,4.579382,1.70601,6.50967,0.21937375,-4.5914974,-6.0265994,3.0684679,3.5649884,17.526499,-1.5642084
-15.876338,-32.78037,3.4743211,3.8894389,14.773743,-1.7657961,5.220951,19.886345,-1.3632926,8.082505,22.404549,-1.1298088
-16.944551,-32.843487,2.032283,-0.20134616,1.1427308,0.8807307,2.925537,8.641251,4.1793203,3.9047258,9.208839,-1.2231584
-5.169414,-8.8630085,4.1125107,-1.7897465,6.7870765,0.9875694,6.6497836,30.429525,-1.8690017,4.968057,12.397384,1.273213
9.231878,23.261702,-2.3105643,-3.8932326,-3.6850936,-2.055651,-13.997931,-25.314365,-0.21660788,-2.9153864,6.0746093,0.96852404
-17.231215,-34.706387,2.470754,-0.30089104,0.68249893,1.343287,4.432619,10.88891,0.46809667,5.293062,19.254454,-1.327443
0.6334317,4.458573,1.8923694,-4.099674,-1.2894727,2.6709833,6.7132516,24.297127,-3.9673152,-6.724089,-7.9962864,2.2201526
3.8921258,11.910191,-1.765597,-1.5029544,7.4279027,0.89935976,0.12781356,11.908959,-1.3249024,7.1845875,19.948763,-1.2507812
2.2540817,10.47993,-1.4078921,-2.9581392,-4.7188425,2.657667,-1.4780588,4.5382624,4.1435823,-6.946012,-11.6191435,3.3214123
-13.495328,-26.966585,1.5989095,4.0270534,13.071389,3.1461074,-14.701393,-31.243734,-0.029751614,-5.009561,-11.341136,2.5609381
-15.219448,-29.553541,-0.28400928,-1.4414592,-1.2298508,1.8864051,2.5344718,13.707369,2.827248,-3.407843,-2.8801405,4.730007
-2.8325562,-8.54948,3.3226817,-1.7530566,6.677745,1.0493981,-1.414697,9.027817,-0.46186858,5.3026834,17.638386,-0.9327834
-16.795252,-33.53211,-0.24295504,-0.30829024,-0.30220658,7.1107073,3.6250973,12.950049,-0.710635,2.946819,16.66178,-0.6673816
-2.4493597,6.892029,1.1402597,-1.914896,6.8023906,1.292227,-4.2925153,-4.1079445,3.121174,0.33625627,13.834196,-1.8477
1.6908826,8.4508915,1.7781044,6.4573607,20.787052,-1.8759567,4.815735,21.185947,-0.3205517,-4.9186597,3.2243285,-1.0827031
0.06931184,3.368673,1.1658646,-0.8948376,5.6933637,2.1593325,-1.1159103,1.8937112,2.2864165,5.651564,20.360746,1.9275838
-11.12145,-24.843313,3.2693136,-6.07759,-14.585003,0.93760985,-1.2814548,10.37338,-0.22848685,-4.2384706,-0.08508215,0.5120867
-0.024434224,6.8489027,-0.17253812,-2.4372642,6.080299,1.5110873,-6.603237,-6.7382393,2.2969646,-2.6141622,6.831823,1.4084696
5.564236,15.014185,-2.3175774,-0.3229934,0.22436863,1.7788187,-14.603458,-27.003246,-1.0695351,-4.543083,-4.36372,3.571497
-4.164587,-4.8918953,0.11181645,-8.520745,-16.817144,2.1937668,8.58404,29.339375,-2.3942115,5.896213,12.176866,0.6481809
-17.28111,-36.21966,3.4834073,-2.9537916,-4.421235,6.507249,-0.3187726,3.6153674,0.20975517,-5.762693,-6.7250214,-0.6728669
0.48935604,2.7895565,1.3422658,5.681436,14.459094,-0.48017412,6.5480194,25.434725,-1.5992745,-3.16136,5.046311,1.4087219
-8.444513,-9.1217785,1.8644892,3.7393756,18.277954,-2.4361076,-1.9676516,8.3453865,0.5364346,-1.0604086,10.165753,0.06435506
-5.032952,-1.9734596,0.6544756,-0.5038769,7.298452,-0.6459927,-2.509146,6.925027,1.132502,2.2788339,9.897942,1.0428106
0.74516743,0.45944908,1.4350893,-1.5282005,8.712928,0.32937247,2.4893758,6.9091735,1.8441386,-0.73669016,9.5646,-0.16140158
-5.9885473,-8.001249,-1.2952173,-0.4864354,-5.939734,3.6827493,-5.165941,-12.030459,1.3998741,-6.1680107,-10.551271,4.4965725
-13.455106,-26.367199,-1.5885042,-0.34168714,3.8960967,1.1710377,-4.0723124,-4.597086,4.153204,-3.577306,4.0766053,0.39122474
-6.3265853,-11.286287,0.19541089,2.3169909,6.6150203,5.8787394,-0.23454143,12.033671,-0.99680525,-11.000466,-23.55242,2.8385193
-15.643356,-30.738205,0.019972965,-0.8271004,4.820333,0.5323867,-2.9598787,4.3479505,2.1563349,5.8940406,23.151705,0.36973637
-17.487011,-36.33887,3.0303504,5.9382696,26.796667,-0.5412696,-2.0174682,8.108336,0.6284972,-1.7494109,7.5363135,-0.24699612
-3.806701,-2.22161,-1.070753,-7.2379794,-12.931069,5.1310472,-8.563077,-14.4862385,4.6522408,-1.9946762,7.116541,1.3515233
-4.1132503,-1.4292852,4.484109,-7.6869254,-9.500483,1.3291991,1.205175,13.274057,-1.4818925,2.5659668,8.670232,0.810785
-17.438234,-36.37801,3.6332848,0.2941351,0.46761987,2.479158,3.3838794,12.18904,0.4695074,-7.3043113,-14.1385355,-1.2210048
2.3486462,4.0441375,-0.37667948,-9.277242,-18.309563,4.488947,-2.0554013,7.946112,0.37995666,3.679323,13.165131,-0.16354473
-16.39355,-33.306004,-0.20246013,-13.22949,-24.754412,0.47829217,5.7398987,22.058088,-0.4403718,6.970821,23.998974,0.6418492
-3.1427104,-6.158836,1.6893073,4.255735,11.079203,3.017604,1.1961042,12.077503,4.640049,3.7021267,9.73966,4.222599
-15.618997,-31.917433,0.7934019,-4.574496,-3.0442924,0.61501414,4.950827,16.36155,1.8922216,-7.608997,-11.8454895,2.1203334
-3.8130438,-4.623675,-1.0649096,3.246517,13.747183,3.5432165,3.1789496,18.128899,0.8603131,-4.049899,-0.30878904,0.9613574
3.5578144,10.119741,0.87291425,-2.5662,1.1294259,2.2248566,0.53782225,8.017802,-0.27977365,-6.085134,-3.1304526,1.4185967
-3.6832883,-10.240594,1.6034068,0.49746597,9.600448,1.3704432,0.08866571,12.002181,2.7562325,5.4487433,14.070643,-1.582544
-8.125349,-15.598982,1.2448949,-0.12580313,0.90992516,-0.29503238,-13.843199,-29.701033,5.6732664,3.0020187,8.978345,0.9748042
