class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.027739536,-0.06910533,0.015915155,-0.022174306,-0.05254194,0.024653021,-0.02773954,-0.06910533,0.015915144,-0.02722213,-0.058761746,0.026325054
-0.027739536,-0.0691053,0.015915167,-0.027739532,-0.0691053,0.015915172,-0.02773954,-0.06910533,0.015915142,-0.02773954,-0.06910533,0.015915148
-0.02773954,-0.06910533,0.01591516,-0.027739543,-0.06910534,0.015915137,-0.027739543,-0.06910536,0.015915133,-0.027739543,-0.06910536,0.015915133
-0.02773954,-0.06910536,0.015915133,-0.027739536,-0.06910531,0.01591516,-0.027739525,-0.06910525,0.015915181,-0.027739543,-0.06910536,0.015915133
-0.027746826,-0.069132596,0.015897244,-0.027739499,-0.069105044,0.015915278,-0.02773954,-0.06910533,0.015915144,-0.027739543,-0.06910536,0.015915135
-0.027739543,-0.06910536,0.015915133,-0.027739543,-0.06910534,0.015915142,-0.027739543,-0.06910534,0.015915142,-0.02773954,-0.06910533,0.01591515
-0.027739543,-0.06910534,0.015915137,-0.02773954,-0.06910533,0.015915144,-0.027739543,-0.06910536,0.015915133,-0.027739536,-0.06910531,0.015915163
-0.027739543,-0.06910536,0.015915133,-0.027741577,-0.06911099,0.01591165,-0.02773954,-0.06910534,0.015915142,-0.02773954,-0.06910533,0.015915144
-0.027739543,-0.06910533,0.015915155,-0.027739543,-0.06910534,0.015915139,-0.02773954,-0.06910536,0.015915137,-0.02773954,-0.06910533,0.01591516
-0.027736805,-0.06909275,0.015922789,-0.027739543,-0.06910536,0.015915133,-0.02773954,-0.06910533,0.015915157,-0.027739506,-0.06910521,0.015915193
-0.02773954,-0.06910533,0.015915148,-0.02773954,-0.06910533,0.015915155,-0.027739536,-0.0691053,0.015915167,-0.027739543,-0.06910533,0.01591514
-0.02773954,-0.06910533,0.015915137,-0.020810336,-0.030856207,0.014886628,-0.027739543,-0.06910536,0.015915133,-0.02773954,-0.06910533,0.015915157
-0.02020584,-0.045898467,0.024176313,-0.027739543,-0.06910536,0.015915133,-0.02773954,-0.06910533,0.015915157,-0.02773954,-0.06910537,0.01591513
-0.027739543,-0.06910536,0.015915133,-0.02773954,-0.06910533,0.01591515,-0.02773954,-0.06910533,0.015915133,-0.027739543,-0.06910536,0.015915133
-0.027739543,-0.06910536,0.015915133,-0.02773954,-0.06910536,0.015915137,-0.02773954,-0.06910533,0.015915155,-0.027739543,-0.06910536,0.015915133
-0.027739536,-0.06910531,0.015915157,-0.027739543,-0.06910536,0.015915133,-0.027739536,-0.06910531,0.015915167,-0.02773954,-0.06910533,0.015915148
-0.027739543,-0.06910533,0.015915154,-0.027739543,-0.06910536,0.015915133,-0.02773954,-0.06910533,0.01591516,-0.02773954,-0.0691053,0.015915157
-0.02773954,-0.06910533,0.015915157,-0.02773954,-0.0691053,0.015915163,-0.027739543,-0.06910536,0.015915133,-0.027739536,-0.06910533,0.01591516
-0.027521,-0.061677188,0.022589289,-0.027739543,-0.06910536,0.015915133,-0.02773954,-0.06910536,0.015915137,-0.027739543,-0.06910536,0.015915133
-0.027739517,-0.06910524,0.015915181,-0.027739525,-0.06910527,0.015915178,-0.027739532,-0.0691053,0.015915174,-0.02773951,-0.06910522,0.015915196
-0.027739521,-0.06910525,0.015915185,-0.028715957,-0.060442686,0.01858845,-0.027739532,-0.0691053,0.015915168,-0.027739543,-0.06910536,0.015915133
-0.02773954,-0.06910533,0.015915152,-0.027739543,-0.06910534,0.015915146,-0.02773954,-0.0691053,0.015915172,-0.027739543,-0.06910534,0.015915142
-0.027739532,-0.0691053,0.015915172,-0.027739543,-0.06910536,0.015915133,-0.02773954,-0.0691053,0.015915161,-0.027739536,-0.06910531,0.015915157
-0.027739536,-0.0691053,0.015915161,-0.027739543,-0.06910536,0.015915133,-0.027739532,-0.0691053,0.015915167,-0.02773954,-0.06910533,0.015915152
-0.027739543,-0.06910536,0.015915133,-0.027739525,-0.06910527,0.015915181,-0.02773954,-0.06910533,0.015915148,-0.027739543,-0.06910536,0.015915133
-0.02773954,-0.06910533,0.015915155,-0.027739517,-0.06910525,0.015915185,-0.02773954,-0.06910533,0.015915152,-0.02773954,-0.06910531,0.015915155
-0.027739536,-0.0691053,0.015915167,-0.02773954,-0.06910533,0.01591516,-0.027739536,-0.0691053,0.015915168,-0.02773954,-0.06910533,0.015915144
-0.02773954,-0.06910533,0.015915148,-0.02773954,-0.06910533,0.015915152,-0.02773954,-0.06910533,0.015915157,-0.02773954,-0.06910533,0.015915144
-0.02773954,-0.06910536,0.015915135,-0.027739543,-0.06910533,0.015915148,-0.02773954,-0.06910533,0.015915148,-0.027739536,-0.0691053,0.015915167
-0.02773954,-0.06910533,0.01591516,-0.027739543,-0.06910534,0.01591514,-0.027739536,-0.0691053,0.015915168,-0.027739529,-0.06910527,0.015915174
-0.02773954,-0.06910533,0.015915154,-0.027739543,-0.06910536,0.015915133,-0.027739543,-0.06910536,0.015915133,-0.027739532,-0.0691053,0.015915168
