class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
16.740417,-26.327023,-30.478077,9.334347,-19.782457,-20.460482,-14.937498,9.594134,19.21504,-4.106305,-5.876928,0.03886786
4.583606,-4.202626,-6.406236,2.7618165,-2.4325073,-3.3838024,-8.909351,9.492026,14.53307,-9.903584,12.9336605,19.041384
3.9361796,-11.213855,-10.026604,-5.551786,-4.9436226,2.4040232,-14.720156,14.012521,23.106607,2.7257135,4.840729,2.529677
4.3946924,-7.802825,-10.116753,-11.001961,11.640583,18.51171,-2.6335738,3.377924,5.47922,6.692471,-7.368849,-11.251176
-5.635227,-1.0638574,3.9503832,-8.361078,0.29405618,7.005084,0.3439186,-3.084466,-3.5459342,-0.13744289,7.092112,5.4301786
16.71178,-26.608591,-30.378746,11.095818,-15.413141,-19.054516,-0.47109935,-4.0783143,-0.3289709,7.957928,-17.279139,-18.121214
-7.2671714,3.0544064,7.3365035,10.280319,-22.895382,-22.826727,-3.865493,9.275478,10.545248,-3.097143,1.6292287,3.832438
2.1220517,-6.2561507,-6.722307,-9.965168,10.397474,16.670464,9.036406,-20.227861,-20.62248,-0.48826772,-1.9842228,-0.2071117
-17.706688,12.76305,24.978754,2.8002744,-5.1394553,-5.896047,-12.896433,4.0816684,14.195001,-11.89662,5.3806067,14.790758
-1.8064473,-0.2571277,1.3916528,-2.7598343,9.515894,9.092555,-15.108173,9.947034,19.916464,-1.7078942,6.2833457,5.83352
-5.143034,-4.2079806,3.2777343,-7.903827,8.480261,12.821481,-12.181591,11.260017,19.176878,-3.477386,-9.923813,-2.3344388
7.825579,-10.323469,-13.77299,-11.657743,15.353872,21.70436,6.4004426,-5.9747505,-9.625859,-0.9802538,1.4157851,1.7183988
-1.6202439,-8.519385,-2.4914923,0.22153893,-5.2977004,-3.4693208,3.3018937,-11.745709,-10.636617,4.357489,-14.2902775,-13.297475
13.100172,-23.747488,-26.046038,-6.06075,3.5049746,8.089331,-0.42606717,8.828516,7.4059286,-17.119278,14.75609,24.952765
13.492256,-24.400835,-26.269335,-2.6957655,-4.117732,-1.2579303,-5.096085,13.973031,14.418933,-9.092712,4.5889673,10.969176
16.974995,-25.821318,-30.561209,-9.220354,4.545128,12.302279,4.152248,-3.6395361,-5.523844,1.0143085,4.0728683,2.9462366
-1.2334592,-1.9042411,-0.037392914,-17.830006,14.050732,25.281733,0.49514467,-3.8681881,-2.4939625,-12.432095,2.6636727,13.1499605
16.326405,-26.205225,-29.94378,-3.5776672,-5.1899157,1.0040841,-5.157143,13.890998,14.841904,-12.010967,17.25577,23.663443
17.039131,-26.81351,-30.904827,-19.680067,11.071252,23.973589,-2.6209583,-2.8224795,0.5200566,9.733355,-12.560253,-15.860686
-3.263424,-6.3400493,-0.6989843,-12.857857,1.6096892,12.569896,3.3978958,-0.44193804,-2.6097138,-8.8528385,13.997207,17.828886
