class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
9.909029,-44.928898,30.193626,-6.942985,17.998234,-14.108188,-5.8683643,27.28993,-17.144701,-14.41824,34.828255,-35.397865
5.825467,-43.51637,27.040297,-13.760243,30.405163,-30.296713,4.076191,-43.686512,23.083979,-3.280499,16.967701,-9.359544
9.413479,-42.58606,27.895668,-15.027566,28.395077,-34.8855,-5.591516,26.110277,-17.272875,4.961123,-13.319393,11.075469
6.671038,-33.001534,20.250689,1.0819278,14.365303,-3.1659677,-1.9905014,17.465618,-7.533016,-8.743513,26.074577,-20.915096
11.593832,-41.230434,28.043516,-4.8921633,21.585745,-13.610181,8.1411495,-0.9007386,11.124082,8.478553,5.344949,5.405233
12.052079,-44.246025,33.84208,-5.4749484,14.872806,-12.63275,9.333681,-10.021191,16.5221,-3.3555527,24.044209,-13.552703
10.736953,-34.802414,25.010082,-12.973504,25.120487,-25.375078,-9.389851,28.863804,-27.517406,-14.523488,18.923353,-26.15986
8.768172,-36.446533,26.003515,-7.7633595,14.073204,-19.448524,-12.657652,12.739574,-21.928205,3.5129166,-3.4090672,7.8062105
12.057472,-36.661938,29.621582,-2.4670343,5.394888,-9.631921,-4.2078,22.84488,-12.689897,0.14935726,25.87285,-12.447503
4.777601,-26.128202,17.922531,-5.2979846,32.573204,-22.394705,-5.241284,26.10291,-15.495288,-5.805102,30.668545,-23.12771
-5.454102,5.7045603,-14.187565,-11.943392,12.294017,-18.599398,-3.2864923,17.6829,-10.094126,-1.016216,-3.8621497,-3.4125178
14.164796,-39.440094,29.548796,-2.9521365,21.620567,-10.798352,-11.04319,24.047321,-28.669474,-4.832064,21.764273,-13.370491
-0.8504011,-32.73752,10.084306,-8.943803,28.725744,-21.87194,-11.092289,16.511591,-20.361616,-5.5629015,-20.028854,0.38740182
8.480808,-42.925034,27.572012,-0.9569673,19.63864,-7.5164933,-0.356072,-20.789692,6.1480665,-1.643177,16.303898,-6.579297
4.9979525,-33.779846,20.219404,1.0961998,14.31261,-4.1078625,-13.108254,22.850195,-26.387285,-5.558988,32.83879,-23.33888
8.766755,-25.186188,20.019112,-9.291941,17.377434,-16.619738,0.8374775,-31.843054,14.151294,-7.4142265,26.305878,-18.427868
11.441551,-40.764034,30.125439,-3.1230588,21.50827,-11.241693,8.469656,-14.759401,12.099084,-2.7870257,21.966408,-11.342877
4.6234317,-30.764612,19.173101,-7.622291,31.445621,-25.835138,-4.117359,18.14831,-10.977569,-5.122871,33.168736,-21.786968
9.996565,-34.579895,26.961973,-2.8905501,23.72837,-17.096474,2.9678364,18.530447,-4.439538,-9.164406,21.020407,-18.037674
14.576016,-47.604202,36.80789,-3.7844195,31.300909,-19.876799,-3.4886422,4.176528,-9.633643,-15.179004,23.231071,-28.89406
11.651048,-25.772078,25.099516,-5.822257,30.483587,-20.22304,-7.346647,25.281546,-19.576328,-14.484841,16.685612,-27.21879
11.921982,-43.1904,32.032467,-1.5873642,18.765953,-8.541066,-5.971405,21.450277,-14.618991,-14.130531,18.920652,-25.014397
11.610628,-44.541172,34.097435,-6.458878,31.130817,-23.983671,-10.01373,22.355392,-20.283976,-15.146774,24.285774,-31.885687
15.43787,-38.286892,33.790043,-3.6231585,2.8024065,-10.532659,-10.4737215,9.537977,-21.835028,-3.3943214,17.93884,-9.824168
10.636414,-37.728348,24.586077,0.22122395,21.93137,-7.877002,-5.563788,-8.075428,-6.4676714,-7.924519,15.771065,-14.873067
2.9206061,-34.726326,19.327574,1.8569028,18.65569,-4.860726,-4.075976,22.875868,-12.659924,1.6888366,4.289835,3.049572
13.611665,-40.53911,35.10332,-16.252666,24.816319,-31.88069,6.5436387,7.7415285,3.7457047,-9.490021,17.449059,-19.717314
13.294821,-29.92121,27.07715,-4.864658,31.336514,-19.314741,-4.2131267,23.994545,-14.66973,-5.694264,19.254238,-13.326015
2.1503255,-2.7357042,5.470253,-5.4879904,30.887825,-21.821865,-7.4758773,-7.4826565,-6.5944605,-5.353531,25.620062,-16.348564
12.344971,-41.685555,28.753576,-13.5361,15.856556,-22.683117,-11.71638,8.342375,-16.593103,-13.43593,18.444324,-26.260271
5.4148374,-5.4712114,6.5995855,-10.898615,4.8508196,-17.814013,0.9057152,16.876873,-5.681081,-12.928139,23.532442,-30.24603
