class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.11297875,-0.10428412,-0.010873761,0.112973556,-0.10426764,-0.01089758,0.11299024,-0.10426756,-0.010894843,0.11297778,-0.10428229,-0.01089746
0.113001734,-0.10425723,-0.0108720595,0.11298805,-0.10426395,-0.010903126,0.11299552,-0.10428093,-0.010887629,0.11299336,-0.10425294,-0.010889223
0.11296721,-0.10429004,-0.010907438,0.112982295,-0.10427281,-0.010902993,0.112953186,-0.10430342,-0.010890539,0.11298789,-0.10424883,-0.010894829
0.113012485,-0.10426936,-0.010878958,0.11297698,-0.10426673,-0.010892954,0.112977676,-0.10427586,-0.010905384,0.11299604,-0.10429209,-0.010891989
0.112986475,-0.104294784,-0.010897528,0.112972476,-0.10427576,-0.010916804,0.11298578,-0.104292445,-0.010895504,0.11297293,-0.1042875,-0.010898995
0.11298975,-0.10427908,-0.010880178,0.112982914,-0.1042764,-0.010879129,0.11296702,-0.10426646,-0.010898289,0.112974785,-0.10427217,-0.010897936
0.11299061,-0.10429007,-0.010886142,0.11298237,-0.10428639,-0.010893506,0.112972096,-0.104285486,-0.010911806,0.1129847,-0.10426184,-0.010902481
0.11298591,-0.104299106,-0.01089716,0.11296485,-0.104296975,-0.010922479,0.112995684,-0.10429391,-0.010891791,0.11299358,-0.1042697,-0.010876764
0.112968825,-0.10431179,-0.01090853,0.11298755,-0.10428589,-0.01090131,0.11297104,-0.10427097,-0.010885032,0.11297275,-0.104270436,-0.010888578
0.11297852,-0.10427134,-0.010876554,0.11295216,-0.104314856,-0.010910232,0.11296491,-0.10429848,-0.0109175,0.11297427,-0.10429143,-0.010882324
0.112978294,-0.10427655,-0.010887298,0.112978265,-0.10426143,-0.010896342,0.11297547,-0.10428553,-0.010915096,0.11299298,-0.10428153,-0.0109032905
0.112991795,-0.10427341,-0.010882259,0.11298957,-0.10427145,-0.010896894,0.1129761,-0.10426574,-0.010883927,0.11296513,-0.10426583,-0.010903286
0.11298214,-0.10427592,-0.010881722,0.11297058,-0.104277276,-0.010894088,0.112989485,-0.10429358,-0.010893635,0.11297743,-0.10427068,-0.01089238
0.11297452,-0.10427821,-0.010894342,0.11297246,-0.10429987,-0.010890803,0.11298514,-0.10426266,-0.010899374,0.11297585,-0.10429229,-0.01091619
0.11296489,-0.10426535,-0.0108965095,0.11296314,-0.104287535,-0.010915559,0.11298059,-0.10428722,-0.010889046,0.112985626,-0.10428163,-0.010890231
0.112981655,-0.10425164,-0.010885012,0.11296553,-0.104281604,-0.010935766,0.112982035,-0.10429438,-0.010887547,0.113005504,-0.1042596,-0.010870977
0.11298952,-0.10427731,-0.010902495,0.1129867,-0.10428976,-0.010884092,0.11298389,-0.10427613,-0.010910062,0.11297941,-0.10428009,-0.010887295
0.11299259,-0.10427151,-0.010900925,0.112981915,-0.10426644,-0.010880658,0.112987794,-0.10428169,-0.010888728,0.11295432,-0.10430228,-0.010924421
0.11299722,-0.104270674,-0.010900216,0.11298572,-0.10428207,-0.010890609,0.11298276,-0.104267895,-0.01087356,0.11299098,-0.10426703,-0.010880593
0.11297832,-0.10427304,-0.010879866,0.112987824,-0.104258984,-0.010874858,0.11298852,-0.10426568,-0.01089532,0.11299666,-0.10426185,-0.010875183
0.11297407,-0.10428157,-0.010884102,0.11296126,-0.10429622,-0.010910611,0.112969056,-0.10428195,-0.010897614,0.11297465,-0.10428406,-0.010892048
0.11299486,-0.10426612,-0.010875529,0.11297593,-0.10427024,-0.010899074,0.11296887,-0.104258925,-0.010877086,0.11299755,-0.10426559,-0.010874249
0.11299965,-0.10427006,-0.010876148,0.11296301,-0.10428509,-0.010915727,0.11297865,-0.10426679,-0.010900272,0.113000676,-0.10424702,-0.010869891
0.112986304,-0.1042788,-0.01089363,0.11297556,-0.10427234,-0.010895904,0.11298443,-0.10428949,-0.010907996,0.11297631,-0.10427231,-0.010895766
0.11298409,-0.104247995,-0.0108972015,0.11298284,-0.10427336,-0.010889036,0.11298433,-0.10427625,-0.010897385,0.11296748,-0.10427522,-0.010896849
0.11297927,-0.104270525,-0.010911984,0.11298285,-0.10427633,-0.010886196,0.1129916,-0.104269244,-0.010885902,0.11297561,-0.10426738,-0.010901518
0.11299407,-0.10425332,-0.010870561,0.1129794,-0.10428238,-0.010907584,0.11300214,-0.104255036,-0.0108750565,0.11300079,-0.10425782,-0.010887306
0.112979636,-0.10427572,-0.010885637,0.1129664,-0.10428516,-0.010887614,0.11299057,-0.104265906,-0.010886742,0.11298113,-0.10427024,-0.010875925
0.11298935,-0.10427817,-0.010880649,0.11300044,-0.10427247,-0.010872418,0.11298226,-0.10426868,-0.010891606,0.11297681,-0.10428366,-0.010907158
0.112996615,-0.10427091,-0.010890533,0.112980105,-0.10428821,-0.010895392,0.11297669,-0.10426833,-0.010895332,0.112991184,-0.10426776,-0.010871973
0.11295225,-0.10430843,-0.010912561,0.11297784,-0.10428815,-0.010892369,0.11297158,-0.10426157,-0.010892013,0.11299812,-0.1042599,-0.010895485
0.11298197,-0.10425181,-0.010904422,0.11300451,-0.10425975,-0.010877668,0.112992436,-0.104264095,-0.010892233,0.112982936,-0.104264975,-0.010896679
0.112987585,-0.104257025,-0.010873363,0.112985805,-0.104262054,-0.010887887,0.11298934,-0.10427114,-0.010901232,0.11296826,-0.104291625,-0.010907399
0.11298016,-0.10426824,-0.010896392,0.1129787,-0.10428188,-0.0108958045,0.11298117,-0.10429069,-0.010906996,0.11296948,-0.10428987,-0.010901397
0.11296852,-0.10429604,-0.010895945,0.11297933,-0.10428069,-0.010892371,0.11298748,-0.10426977,-0.010904647,0.112988226,-0.104268275,-0.010873324
0.11296911,-0.10431001,-0.0109066395,0.1129678,-0.10428105,-0.01090375,0.112988435,-0.104276955,-0.010897174,0.11299139,-0.10431621,-0.010917158
0.113003135,-0.10425523,-0.0108696865,0.11298094,-0.104279965,-0.010901561,0.11298708,-0.10428717,-0.0108962245,0.11298344,-0.10425432,-0.010895806
0.11297926,-0.10428223,-0.010884488,0.1129922,-0.10426651,-0.010877278,0.11298904,-0.104260586,-0.0108789615,0.11297836,-0.10426411,-0.010891113
0.112973265,-0.10427885,-0.010911456,0.11296246,-0.104301535,-0.010912297,0.112975046,-0.10428661,-0.010895595,0.112998776,-0.10424878,-0.010872498
0.11297799,-0.10429335,-0.010905855,0.11297577,-0.10429513,-0.010913822,0.11298968,-0.104284786,-0.010888264,0.112994224,-0.10426095,-0.010877508
0.11298654,-0.10427094,-0.010906209,0.11297778,-0.10430523,-0.010905193,0.11297455,-0.104280055,-0.01089607,0.112988874,-0.10427288,-0.010904536
0.112965345,-0.10428358,-0.010902917,0.11297859,-0.10427858,-0.01088612,0.11295053,-0.10429392,-0.010908505,0.11299446,-0.10428162,-0.010894998
0.11300409,-0.10428371,-0.010870599,0.11297546,-0.10429072,-0.010913263,0.11298405,-0.104293235,-0.010917334,0.11298064,-0.104266435,-0.010869037
0.11297583,-0.104272656,-0.0109056365,0.11298709,-0.1042557,-0.01087708,0.11297436,-0.10427654,-0.010912983,0.112978965,-0.104275085,-0.010907926
0.11300853,-0.10426007,-0.010884402,0.11298596,-0.104268484,-0.010895956,0.11299471,-0.10428467,-0.010881534,0.112988345,-0.10426993,-0.010885502
0.11298844,-0.1043061,-0.010887941,0.11296933,-0.1042875,-0.010908155,0.11297189,-0.10426436,-0.010903634,0.11299731,-0.10426967,-0.010869812
0.11298312,-0.10429444,-0.010892884,0.112963825,-0.10430235,-0.010920813,0.11298431,-0.10428496,-0.010899929,0.11298554,-0.10428705,-0.010925262
0.11298413,-0.104278654,-0.010877822,0.11298461,-0.10426377,-0.01089,0.112984136,-0.10426845,-0.010885328,0.112989455,-0.10428466,-0.010908039
0.11297894,-0.10427705,-0.010900369,0.11298674,-0.10429354,-0.0108869765,0.112992875,-0.10426938,-0.010879565,0.11298502,-0.10426122,-0.010886445
0.11299019,-0.10426976,-0.010878913,0.112993896,-0.10425382,-0.010879098,0.11298341,-0.10427521,-0.010902399,0.11298432,-0.10428199,-0.010880953
