class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.017948758,0.10390704,-0.043159254,0.017950777,0.10392518,-0.043151733,0.017948221,0.1039293,-0.04315552,0.017973535,0.10398484,-0.043178137
0.017939525,0.10390785,-0.043167386,0.017931499,0.10390416,-0.04314725,0.017957732,0.103951916,-0.043155354,0.017961644,0.10395241,-0.043158703
0.017940741,0.10391264,-0.043174148,0.017939992,0.10390559,-0.043156907,0.018024292,0.104242496,-0.043279648,0.017964806,0.103959136,-0.043171976
0.017955575,0.10392173,-0.043173943,0.017931623,0.10389737,-0.043153197,0.017928489,0.103894874,-0.04315407,0.017943162,0.10392605,-0.043158703
0.017938135,0.10388627,-0.04314239,0.01793224,0.10388042,-0.043167926,0.017967992,0.10397115,-0.043170266,0.017984642,0.10399753,-0.043182205
0.017943703,0.10391984,-0.043163016,0.0179337,0.10390015,-0.0431691,0.017926544,0.10388223,-0.043168835,0.017971545,0.10397292,-0.043169305
0.017947253,0.10391329,-0.043167956,0.017924199,0.10388597,-0.04316601,0.017976098,0.10397723,-0.04317285,0.017959358,0.1039697,-0.04315243
0.017944101,0.103909224,-0.04317398,0.017939186,0.10391381,-0.043154486,0.01796911,0.10397817,-0.04317537,0.017950637,0.1039469,-0.043178566
0.017924994,0.10389136,-0.04315669,0.01792534,0.103893965,-0.04315925,0.01796243,0.10397007,-0.043165497,0.017988779,0.10399912,-0.043162167
0.017944511,0.103917435,-0.0431618,0.017941853,0.103916295,-0.04315908,0.018139072,0.10423274,-0.043537565,0.017956378,0.103951745,-0.043156795
0.017931202,0.10389175,-0.0431724,0.017936483,0.10390389,-0.043158457,0.017940462,0.10389408,-0.04316712,0.017967958,0.10396059,-0.043175876
0.017951583,0.10392503,-0.043152083,0.017930917,0.10390086,-0.04315339,0.01797333,0.10397874,-0.043171894,0.01797802,0.10399495,-0.04317072
0.017933559,0.10390462,-0.043167576,0.01794442,0.103914306,-0.043174546,0.018026844,0.10421561,-0.043285057,0.017965041,0.10393924,-0.043162324
0.017935181,0.1039027,-0.043157347,0.01793062,0.10389398,-0.043174736,0.018015105,0.10423406,-0.043301817,0.017972447,0.10399094,-0.043171387
0.017945968,0.103906095,-0.043169077,0.017924607,0.103884146,-0.043149732,0.01804506,0.1042225,-0.043319084,0.017956529,0.10394402,-0.04317851
0.017943772,0.103930496,-0.043165293,0.017919641,0.10389371,-0.043165315,0.01795391,0.10396282,-0.043167986,0.017956458,0.10398521,-0.043159768
0.017930593,0.103894666,-0.04316842,0.017932363,0.10389458,-0.04315099,0.017940458,0.10391054,-0.04314971,0.01796919,0.10395991,-0.043160778
