class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.0041116597,0.11975956,0.04139438,0.004113186,0.11975974,0.04139469,0.004109792,0.11975771,0.041392047,0.004110924,0.11975618,0.041391607
0.004111075,0.11975697,0.041392796,0.004112023,0.11975729,0.041392386,0.0041326354,0.11975359,0.041339733,0.0041133016,0.11975955,0.041393593
0.004110112,0.11975978,0.04139481,0.0041074306,0.11975769,0.04139244,0.004111592,0.11975576,0.041391805,0.0041117715,0.11975944,0.041393884
0.0041102935,0.11975899,0.041393667,0.004110717,0.11975594,0.041392308,0.004097562,0.11977626,0.04138705,0.004110448,0.11975641,0.041392326
0.004112561,0.11975751,0.041394107,0.004107858,0.11975773,0.041392867,0.0041090758,0.11975834,0.04139289,0.004110291,0.11976196,0.041394405
0.0041109296,0.119760215,0.04139379,0.0041092806,0.11975824,0.04139279,0.004066438,0.11973394,0.041361183,0.004111859,0.11975933,0.041394394
0.0041134907,0.119759806,0.04139377,0.0041099926,0.11976265,0.041394554,0.004112269,0.11975794,0.04139342,0.0041108155,0.119759165,0.041393638
0.004113333,0.11975849,0.041392427,0.004109932,0.1197625,0.04139429,0.004112554,0.11976605,0.04140952,0.0041103186,0.11976106,0.041393854
0.004112404,0.11975853,0.041393045,0.0041095633,0.11975872,0.04139243,0.004112391,0.119751155,0.041393247,0.0041128835,0.119758055,0.041394528
0.0041109724,0.119759634,0.04139416,0.004111481,0.11975954,0.04139429,0.0041101384,0.119758785,0.04139288,0.004111167,0.11975591,0.041391905
0.004111048,0.11975723,0.041391667,0.004111953,0.11975614,0.041391578,0.0041096257,0.11972899,0.041358903,0.0041100644,0.11976247,0.04139448
0.0041081896,0.11975855,0.041393857,0.004111398,0.11975779,0.04139207,0.004108068,0.11975819,0.04139297,0.0041092094,0.11975949,0.041393355
0.0041101472,0.11975746,0.041391704,0.0041130353,0.11975899,0.04139315,0.0041104434,0.11975911,0.041393466,0.0041103093,0.11975787,0.041392636
0.004109068,0.11975838,0.04139261,0.004108319,0.119759455,0.04139376,0.004102268,0.11976614,0.041394133,0.004109205,0.119760044,0.04139267
0.004108767,0.119758755,0.041394066,0.0041102045,0.11975798,0.04139227,0.004107406,0.119757384,0.041392792,0.004111774,0.11975942,0.04139438
0.004108849,0.11975963,0.041392244,0.0041105025,0.119758636,0.041393254,0.0041140327,0.1197603,0.041394524,0.0041083777,0.11975908,0.041391972
0.004111039,0.11975631,0.04139224,0.004110883,0.119756475,0.04139137,0.0041111885,0.1197598,0.041394155,0.004108734,0.1197593,0.04139261
0.00410905,0.1197583,0.041391958,0.0041098115,0.11976068,0.041394036,0.004126846,0.1197249,0.04137977,0.004107676,0.1197578,0.041393064
0.0041127573,0.119758084,0.041394487,0.004110715,0.11975873,0.041392826,0.004109268,0.11976028,0.041392725,0.004111888,0.119759135,0.04139424
0.004110228,0.11975841,0.041392356,0.004107649,0.11975801,0.041392148,0.0041088155,0.11975965,0.04139224,0.004107848,0.119758956,0.041393977
0.004113731,0.11975893,0.04139287,0.004109287,0.11975974,0.041392628,0.004092062,0.11975773,0.04141228,0.0041078487,0.11975856,0.041392
0.004111172,0.119756386,0.041392125,0.0041080667,0.119758815,0.04139223,0.0041071624,0.11975764,0.041392893,0.0041125594,0.11975941,0.041393433
0.004109797,0.11976031,0.041393325,0.004108988,0.119761296,0.041394904,0.004109299,0.11976385,0.041367102,0.0041112257,0.11975559,0.04139144
0.0041127303,0.11975897,0.041392844,0.00410988,0.11976265,0.04139495,0.004109515,0.119758464,0.041392367,0.0041121575,0.11975964,0.0413939
0.0041121882,0.11975711,0.041393742,0.0041111214,0.11975675,0.041391347,0.0041121803,0.11975653,0.0413935,0.0041095233,0.11976057,0.04139511
0.004109394,0.119760886,0.041393045,0.004111193,0.119759105,0.041393317,0.004099696,0.119736545,0.041392766,0.0041115894,0.11975933,0.041394178
0.0041103307,0.11975664,0.0413924,0.0041123945,0.119757265,0.041391637,0.004110885,0.119760126,0.041394662,0.004109958,0.11976194,0.041393902
0.0041138283,0.11976011,0.04139455,0.004107759,0.119758144,0.04139183,0.0041091153,0.11976047,0.04139404,0.0041136425,0.119759955,0.041393787
0.0041133845,0.11975938,0.041394528,0.0041123005,0.119759604,0.041393727,0.004113557,0.11975994,0.04139442,0.0041096043,0.119761564,0.041394558
0.004113013,0.11975894,0.041394748,0.0041072513,0.11975788,0.041392073,0.0040612095,0.11977547,0.041385915,0.004109269,0.11975948,0.041393276
0.0041136723,0.11975923,0.041393172,0.0041135503,0.11975948,0.04139461,0.0041104504,0.11975861,0.04139325,0.00410759,0.11975828,0.041391876
0.0041102446,0.11976226,0.041394483,0.0041101733,0.1197584,0.04139231,0.0041120835,0.11975956,0.04139377,0.0041096914,0.11975819,0.041392438
0.0041090604,0.11976137,0.041394994,0.004112849,0.11975894,0.041393794,0.0040752627,0.11975589,0.04140883,0.0041119056,0.119756594,0.04139153
0.004107194,0.1197576,0.041392885,0.004110834,0.11975773,0.04139296,0.0041104713,0.11975826,0.041392386,0.004110152,0.1197593,0.041394345
0.0041113845,0.11975628,0.04139136,0.0041111587,0.119759545,0.041394163,0.004131314,0.11975514,0.04137793,0.004112098,0.11975938,0.041393477
0.004111495,0.11975658,0.04139433,0.004112716,0.11975983,0.041393895,0.004038071,0.11974506,0.041363206,0.004109622,0.11976082,0.041393396
0.0041108546,0.119756386,0.041391596,0.004111399,0.11975935,0.041394114,0.0041096658,0.11975857,0.041393574,0.0041105915,0.1197574,0.04139194
0.004107369,0.119757734,0.041393112,0.004113141,0.11975913,0.041392934,0.0041108592,0.11975915,0.041393667,0.00411222,0.11975629,0.04139342
0.004110909,0.11976108,0.04139423,0.004108746,0.11975815,0.041391797,0.00410402,0.11973791,0.041389164,0.0041095586,0.11976059,0.041395113
0.0041078143,0.11975795,0.041392066,0.0041105803,0.11975737,0.041391768,0.0041131033,0.1197598,0.04139387,0.004112365,0.119759664,0.04139365
0.004110975,0.11976058,0.041394066,0.0041094227,0.119758144,0.04139235,0.0041137096,0.119759984,0.041393712,0.004113018,0.11975906,0.04139392
0.0041086143,0.11975815,0.041392665,0.004107527,0.1197577,0.04139252,0.004113855,0.11974155,0.041370116,0.0041100057,0.11975761,0.04139188
0.004108463,0.119757645,0.04139262,0.004108807,0.11975874,0.041394062,0.0041252817,0.11978351,0.04140824,0.004108628,0.119758114,0.041393407
0.0041117263,0.119759396,0.041394364,0.0041071572,0.11975744,0.04139269,0.0041108,0.11975911,0.041393608,0.0041127517,0.119758524,0.041394617
0.004111497,0.119756736,0.041391358,0.0041070813,0.11975783,0.041392058,0.004110015,0.119762674,0.041394938,0.0041073794,0.11975799,0.04139204
0.0041084653,0.119758,0.041393366,0.0041098017,0.11975788,0.041392274,0.004115228,0.11976895,0.04143135,0.0041086487,0.11975769,0.041392628
0.0041096816,0.119761474,0.041394576,0.004108847,0.11975825,0.041391976,0.004100595,0.11974441,0.041391194,0.0041080266,0.11975826,0.04139312
0.0041082427,0.11975975,0.04139402,0.0041112388,0.11975672,0.041391365,0.0041119885,0.11975697,0.04139355,0.004110693,0.11975709,0.041392528
0.004110094,0.119760536,0.04139504,0.0041116583,0.1197594,0.041393876,0.0041086464,0.11975963,0.04139229,0.0041098273,0.11976265,0.041395
0.004112534,0.119757496,0.041394114,0.004109079,0.11975831,0.041392513,0.0041298023,0.11971385,0.041395657,0.0041082287,0.11975977,0.04139414
0.004109565,0.11975829,0.041392043,0.004109498,0.11975801,0.041393034,0.0041129394,0.119759485,0.04139392,0.0041118204,0.11975695,0.04139339
0.004114062,0.11976027,0.041394215,0.004110324,0.11976045,0.041394938,0.004108777,0.11975985,0.04139241,0.004109962,0.11976259,0.041394453
0.0041097496,0.11975865,0.041393593,0.0041123326,0.11975798,0.04139367,0.0041102436,0.11976049,0.041395005,0.0041089905,0.11976021,0.041392572
0.0041129524,0.11975984,0.041394237,0.0041112774,0.119755775,0.041391496,0.004112075,0.119758636,0.041394345,0.0041092923,0.11976087,0.04139298
0.0041092755,0.1197608,0.04139291,0.0041092476,0.119760156,0.04139268,0.0041117677,0.11975919,0.04139378,0.0041131647,0.11975969,0.041393608
0.004110098,0.11975784,0.04139194,0.0041139224,0.11975991,0.041393597,0.004108372,0.11975797,0.0413922,0.004112594,0.119759314,0.04139468
0.0041120984,0.11975601,0.041393265,0.0041099037,0.11975986,0.04139334,0.004110155,0.119760595,0.041393854,0.0041094176,0.119761534,0.041395344
0.0041090352,0.11975877,0.041394215,0.004109985,0.11975859,0.04139282,0.004108967,0.11976102,0.041394632,0.004112778,0.119758934,0.04139362
0.004110936,0.11976004,0.041394565,0.0041103675,0.11976047,0.04139374,0.0041212137,0.11975897,0.0414122,0.004112151,0.11975741,0.041393705
0.004107918,0.119758524,0.04139236,0.004107615,0.11975742,0.041392744,0.0041113254,0.11975637,0.041392118,0.0041098874,0.119762406,0.041394807
0.0041103223,0.11976044,0.04139375,0.004110188,0.119758956,0.041393727,0.004112367,0.11975932,0.041393556,0.0041125235,0.119759396,0.041393425
0.004110925,0.11975543,0.04139212,0.0041099535,0.11976036,0.041393317,0.004110195,0.11976047,0.041395072,0.0041118804,0.119758606,0.041392572
0.0041092923,0.11976072,0.04139278,0.0041097063,0.119762376,0.04139517,0.004108611,0.11975875,0.04139403,0.004110815,0.11976001,0.04139434
0.004113548,0.11975992,0.041393846,0.0041141557,0.11976032,0.04139432,0.0041072527,0.119757876,0.04139202,0.0041131624,0.11975919,0.041394066
0.0041104187,0.119758844,0.04139328,0.0041117407,0.11975922,0.041393757,0.0041095875,0.11975792,0.04139264,0.0041115126,0.1197578,0.04139311
0.0041091423,0.11975832,0.041392323,0.0041135605,0.11975979,0.041393794,0.0041579017,0.11976117,0.041366678,0.0041109915,0.11975623,0.04139222
0.004111765,0.1197588,0.04139386,0.004111682,0.1197556,0.041391563,0.004094168,0.11970392,0.041364662,0.0041114436,0.11975532,0.041392576
0.004110731,0.1197563,0.041392602,0.0041071167,0.11975755,0.04139231,0.004088007,0.11975182,0.041400667,0.0041076364,0.119758666,0.041393682
0.004111014,0.11975646,0.041391343,0.004112765,0.11975752,0.04139219,0.0041085077,0.11975823,0.041391775,0.004112388,0.11975959,0.04139376
0.004108534,0.11975941,0.041392233,0.0041111703,0.11975672,0.041392196,0.004107821,0.11975789,0.04139208,0.004108394,0.11975866,0.04139401
0.004110979,0.11975881,0.041392952,0.0041102003,0.119761735,0.04139415,0.004098061,0.11975841,0.041381903,0.004108981,0.11976132,0.041395046
0.0041089305,0.11975818,0.04139223,0.0041085393,0.119759426,0.041392222,0.004113258,0.119766265,0.041397344,0.0041118627,0.11975862,0.041393157
0.004107909,0.11975843,0.041392278,0.0041123517,0.11975933,0.041393567,0.004110943,0.11975979,0.041394256,0.004110899,0.11975634,0.041391604
