class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-6.558201,-23.908915,-9.243835,13.954833,24.376766,4.2464585,-2.245938,-4.378118,-1.7921861,9.901601,15.425339,1.3273388
-3.7477067,-10.7706785,-7.0782495,20.702509,28.181112,-2.7559595,1.9640806,9.81588,1.4712385,18.653114,28.964006,-2.8793426
-6.2746115,-16.458624,-0.13279694,10.548038,20.566622,-0.87544835,-4.994705,-1.8012924,0.36392462,15.971734,28.78887,-1.6078899
0.94737285,2.0265484,2.5368237,15.539248,27.048845,-3.0819597,12.930061,19.90981,2.3260078,25.882736,38.524033,0.8443986
-15.005538,-24.076244,0.16504753,16.56911,22.48171,1.8236128,23.097948,33.51044,1.0346931,19.676407,26.957968,-0.02149713
-1.0246243,-1.9159465,-0.27281284,12.843295,23.41234,1.8089372,-7.918543,-1.6219978,0.99603856,20.072046,28.35445,-2.8246865
-11.939514,-15.710705,1.9702183,16.981466,25.027163,3.5168118,-0.043248177,9.678275,0.8600751,-10.58327,-18.184893,4.20186
-3.3582466,-2.9698544,1.7539736,20.924025,33.688213,2.5288253,6.8135138,17.174818,-1.169309,18.186357,32.66312,6.3179383
-7.3072605,-8.027557,-2.5193982,19.582327,26.408663,-4.420503,21.15212,33.50624,2.8519511,13.091905,24.465992,0.62034285
-8.61926,-22.281157,-6.475077,16.350393,28.151249,-3.3194432,17.916916,22.967424,-0.4554987,-0.12777472,7.0072117,3.2048225
-7.409009,-22.742157,-5.2511697,19.607615,26.826324,-2.2596107,13.823145,26.865423,-0.2578293,12.710408,24.363127,0.29692423
-0.22783434,-1.4183953,-5.932309,18.173708,31.746525,-1.300969,19.538853,31.08962,2.9374952,24.973238,35.8895,1.1334882
-4.2586927,1.6121771,2.0045633,26.015383,41.92098,2.925672,2.9893584,5.270452,5.8348384,18.865051,34.089985,-0.28652596
-5.5303497,-11.525143,0.106610775,15.216195,20.30567,-5.0911355,10.434009,26.288715,9.168507,-6.545044,2.4827292,5.0431705
13.777431,18.492214,-1.3145409,17.169401,21.460638,-5.0008197,-1.5628092,-3.6141753,3.268797,18.095123,28.187202,2.9944177
-7.4053755,-4.4978166,-0.41358364,18.508219,25.249407,1.4916846,19.885445,38.36911,6.148686,13.946995,18.567091,-7.0697727
-13.672109,-26.308445,1.2572095,16.372217,26.692526,-5.21403,9.145829,13.474337,4.611401,-2.2186399,-10.36805,-3.9637146
-5.1223927,-13.654293,-6.826077,17.51901,30.33766,-2.0433161,7.5794296,7.4867797,-2.6523385,6.6165257,8.695269,0.78725636
-1.2702103,-1.7115922,2.5402732,12.976443,20.836046,-5.036113,15.661725,20.193201,-5.0226216,14.127335,24.842377,-4.2534676
-13.001402,-28.46146,-1.8689456,17.319164,31.299252,4.8767037,13.038104,17.637846,-4.615607,9.063799,23.011435,6.547738
1.0583823,6.246109,-2.0363984,21.28971,29.955248,-0.061272502,-2.1542885,4.6591034,-0.32230437,13.723593,26.141087,3.9492178
