class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-21.938553,-15.17876,8.946405,22.021599,9.133875,3.2377243,25.031479,10.232511,2.9965115,13.701814,4.97162,4.8609686
-20.07571,-12.236615,4.156437,20.308342,15.360262,-2.2120452,28.768524,18.587366,-6.622869,28.206028,14.768618,-0.086713195
-20.790976,-16.157007,12.338892,29.129827,15.911439,1.0938255,20.678665,16.201061,-3.8273253,21.106693,11.035655,1.1164787
-25.773798,-17.030325,10.674526,27.342566,13.52316,-0.6342329,16.36729,6.7599225,3.8197217,26.1628,12.981661,-2.1550307
-27.680748,-16.281992,9.856877,-0.5793553,-2.501721,3.6549478,10.457822,7.38858,-3.2556133,11.287,5.5200067,2.3482707
-29.309128,-17.156322,9.341774,-5.4121737,-7.8758435,8.590248,12.466052,5.670984,4.1451178,18.074661,10.571814,-0.48479378
-18.791382,-12.549315,9.568972,25.098415,11.990531,1.0361791,36.272987,22.304241,-6.8744025,-21.929203,-9.37447,3.5157485
-4.7562714,-5.346743,1.7403088,26.128805,12.264431,3.605658,17.826448,6.644587,4.137764,13.150024,5.5245185,-2.872273
-14.51014,-12.060124,6.8432136,22.388433,9.295223,2.7081103,31.297333,18.720892,-3.5152888,26.302864,11.909442,-0.26934326
-11.903604,-8.025814,2.117094,17.221825,8.465475,-4.754308,12.25734,11.957106,-3.7935119,22.000355,10.178372,-0.102761626
2.420054,-0.19141519,1.6359433,30.027966,19.453968,-4.237736,30.889317,19.406916,-3.2254472,23.213737,10.565688,-0.6636659
-18.39231,-3.4489865,1.4339606,13.887612,5.844398,1.8026925,30.058235,16.42242,-0.51392424,23.971918,11.395608,2.306642
-21.90118,-4.705615,-1.8423308,26.244333,14.730702,-0.6992997,27.700588,17.769491,-2.2040987,-4.6801705,-5.1748443,6.4619484
-22.438755,-2.717124,-3.827559,10.410769,4.649302,-1.3533987,28.68968,14.633248,-0.37714362,2.880182,-0.82509255,5.400171
-25.305157,-8.209386,1.9906045,18.101366,15.153281,-3.0114446,8.991685,8.890662,2.2572875,26.216972,14.275558,-5.3632174
-17.48284,-3.7852964,-2.1886907,32.85811,18.759817,-0.53991807,24.082096,16.79677,-2.4597888,21.959183,10.864664,2.2405517
-17.314463,-8.504529,3.625115,30.127422,16.92194,-0.92866325,22.630493,17.975687,-6.5125823,-6.5583506,-2.2234774,-2.3661532
-0.9517437,-0.34360665,3.7691226,23.739952,13.504043,-8.182481,4.534564,2.4983563,-0.7766856,-16.382555,-6.009672,4.2641625
-23.57911,-16.73887,11.406372,20.955688,12.4805565,1.6207532,22.40745,10.276998,2.9561734,-8.989967,-2.0214782,3.9296265
-27.524456,-13.605454,7.6493173,14.882096,6.261605,2.1333103,16.450089,5.8757343,-0.25144827,21.82888,11.82839,-4.1911936
-4.983098,-6.3278055,7.169598,8.077934,2.2000809,5.324114,20.990707,12.852388,0.5750214,-23.601719,-5.1336274,-0.6923698
-22.276,-2.0882688,-3.9670353,20.6581,8.741557,2.5179672,14.653268,6.5018554,4.1835136,8.349344,0.99119747,5.4962707
-11.744121,-3.2690392,-0.8319665,26.532312,16.393621,-0.3730656,-19.871075,-5.068939,-1.0793484,-9.711724,0.41301775,0.043961048
-22.01376,-1.3063706,-4.8761697,27.479877,19.326532,-4.370217,6.680626,0.7128882,4.7410626,-22.469334,-17.04956,13.330129
-23.346767,-14.532577,5.2183957,34.422783,20.914328,-6.2654433,26.142363,14.468134,-3.956884,6.282585,1.9344205,0.74598885
-8.956796,-9.763879,6.7152734,19.29478,8.793555,4.8021936,-6.0840616,-0.50230885,-3.065959,-8.65321,-2.4686632,0.56914055
-16.258774,-8.536298,3.531457,25.914696,16.295904,-3.4069543,23.527903,15.882037,-1.223999,3.6069,2.8741632,5.874705
-17.629234,-5.4917064,1.9446722,9.663291,3.7022157,2.1864567,18.65141,6.9607577,4.1244764,14.096363,8.567675,-6.723051
-26.015236,-11.754195,3.6131163,29.730888,15.924781,-2.4755502,20.190548,14.42806,-1.9469265,-4.3668184,-3.9501853,0.6623783
5.459013,1.0009365,2.2874966,22.896725,8.597566,3.8215652,34.286232,20.467482,-5.2553697,23.808105,10.533162,0.33191407
-13.634036,-1.6025879,-0.28168976,28.145607,18.03496,-2.3302927,20.698402,12.606664,-0.6960083,-24.535374,-14.750906,9.407471
-12.519432,-6.453096,4.739309,-0.21637155,-0.6783754,6.11278,14.978852,8.761161,-3.896348,2.7260194,-1.1076401,6.7934084
-13.341844,-6.443817,3.611794,23.092972,10.950059,3.141821,-11.788911,0.4840635,1.6189774,15.628373,5.0254064,1.4393045
-22.027145,-7.9396625,1.9586486,31.70866,16.321493,-2.5304885,5.7197075,7.0787263,-3.472814,27.725468,14.427674,-3.8206944
-24.267807,-12.98449,6.0602384,29.83411,17.60319,-4.17115,20.752678,8.757445,-0.77478075,25.359016,11.37487,2.0201979
-23.999836,-2.3887181,-3.8839345,19.221102,6.8274164,2.9508843,4.264636,2.1380649,-2.4277124,-9.796524,-5.3817286,-1.1025304
-16.666824,-8.694243,3.3870697,18.071585,7.7824254,2.7455792,10.632077,6.254,-0.03686458,0.9093485,-1.6782378,1.6962994
-17.595171,-12.646247,7.455239,12.292164,3.6860042,5.257161,2.4948707,4.4136734,-1.1349369,15.937337,7.6862383,-1.4982222
-21.451513,-11.502059,5.186172,29.890926,20.034342,-4.2605705,24.95332,13.0486765,0.03223455,11.240359,7.2384562,-5.49734
-7.0934486,-7.361907,6.474556,23.05521,13.076095,-1.9562339,24.697819,16.04584,-3.197915,19.993973,9.064037,2.5614047
-23.368467,-8.166777,0.17361224,23.092491,11.5199375,-3.0379887,-24.28433,-10.848396,4.620842,-5.6363077,0.038229704,1.4737602
-24.501831,-5.506217,-1.0264369,16.966454,9.532187,-5.245505,24.518648,10.787429,1.0423328,14.818832,8.238559,-4.106035
-1.8014915,-4.0807157,7.618091,16.886938,7.315667,1.9600877,19.306221,8.655768,1.9816369,2.4033008,0.61221224,1.4949127
-22.910412,-4.6937423,-2.4630914,7.2725487,0.088620976,7.3491135,19.940552,10.472615,1.3019756,-22.502762,-8.044639,2.9121904
-12.940142,-11.3214655,8.833832,31.202488,16.395365,-2.7538514,27.165514,15.002318,-2.6224728,9.331367,2.2518315,2.999546
10.513617,4.003757,0.8854462,31.377953,16.326954,-4.560477,9.489237,13.121895,-9.4142685,6.8075356,3.4709558,2.6897488
-12.441151,-2.293551,-0.3876171,6.4310384,1.6787263,2.9476757,29.039867,19.911062,-5.245959,-2.2581053,0.09663856,-4.128605
11.737031,2.2827835,6.22228,22.536755,17.700102,-4.049274,27.61715,12.974373,-0.7779807,11.474538,4.9207706,2.8665824
-18.813995,-6.8511405,-0.53768635,15.33696,7.6046495,-3.468583,26.38873,13.297996,3.6596618,-19.213554,-0.46832812,-5.1949615
-6.3774843,-7.4371715,3.7374158,13.293736,7.261935,-1.2064856,17.806774,9.819519,2.2226171,4.2382717,2.4756227,0.6306844
-0.64557296,-0.27968508,3.1487746,24.925053,12.135234,-0.41442752,20.67202,10.344226,4.056806,19.445251,7.896937,6.017364
