class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.11740413,0.06443013,-0.11424087,-0.11741035,0.06443386,-0.11424119,-0.11739998,0.06442329,-0.11424274,-0.11739914,0.0644513,-0.11424042
-0.117401645,0.06442625,-0.11424063,-0.11741709,0.06443127,-0.114243165,-0.11741033,0.06441492,-0.11424844,-0.11740626,0.06444025,-0.11424249
-0.117411815,0.06441109,-0.11424591,-0.1174093,0.06441158,-0.11424444,-0.11740647,0.06441668,-0.11424412,-0.117406175,0.06442575,-0.1142413
-0.11740899,0.06443311,-0.11424074,-0.1173982,0.06443391,-0.11423846,-0.11740523,0.06443131,-0.11423892,-0.11741272,0.06442349,-0.11424304
-0.117414005,0.06443879,-0.114242725,-0.11740839,0.06443271,-0.11423952,-0.11740373,0.06443257,-0.11424797,-0.11740713,0.0644139,-0.11424523
-0.117398195,0.064425334,-0.11423946,-0.11740569,0.06444573,-0.11424392,-0.1174106,0.06442944,-0.11425015,-0.11741141,0.06441971,-0.11424044
-0.11741357,0.064429596,-0.11424152,-0.11740455,0.06444095,-0.11423987,-0.11740233,0.06444007,-0.11424189,-0.11740093,0.064419754,-0.11424495
-0.11740555,0.06442655,-0.11424391,-0.11740795,0.06442572,-0.11424106,-0.1174089,0.064435445,-0.114240125,-0.11740475,0.06442673,-0.1142381
-0.11740847,0.0644245,-0.11424391,-0.11741113,0.06443219,-0.11424098,-0.11740906,0.06441735,-0.11424441,-0.117404096,0.06443745,-0.11423953
-0.117403746,0.064431556,-0.114245206,-0.117402986,0.06443362,-0.11423834,-0.11740699,0.06444001,-0.114240974,-0.117400244,0.06443255,-0.11424223
-0.11741244,0.06442154,-0.114240974,-0.11740354,0.06441838,-0.11423998,-0.1174064,0.06442758,-0.114235975,-0.11740013,0.06443704,-0.114236385
-0.11740535,0.06444611,-0.11424105,-0.11740505,0.064417765,-0.114243545,-0.11740583,0.06443902,-0.114240065,-0.11739837,0.06444184,-0.114240244
-0.11740723,0.064426444,-0.11424434,-0.11741018,0.064427316,-0.11424551,-0.117405854,0.06444571,-0.114240184,-0.11740523,0.06442254,-0.11424283
-0.117403254,0.064423785,-0.11424389,-0.117408864,0.06443088,-0.11424453,-0.117403984,0.064454794,-0.11423768,-0.11740152,0.0644357,-0.11424114
-0.11739726,0.06444279,-0.11424468,-0.117401235,0.06443044,-0.1142376,-0.117401935,0.064454935,-0.11424315,-0.11741017,0.06442101,-0.11424423
-0.11740804,0.06442507,-0.11424143,-0.117403336,0.06442597,-0.114241295,-0.11739881,0.06444391,-0.11423392,-0.11740048,0.06444651,-0.11424176
-0.11740587,0.0644274,-0.11424277,-0.11740432,0.06444618,-0.11423949,-0.11740438,0.0644327,-0.11424181,-0.11740479,0.06443867,-0.11423727
-0.11740397,0.06443644,-0.114242055,-0.117407165,0.06442797,-0.11424242,-0.1174095,0.06442957,-0.11424516,-0.11740573,0.064438775,-0.11424169
-0.11740191,0.064430796,-0.1142424,-0.11740617,0.06442879,-0.114240356,-0.11740655,0.06443894,-0.11424,-0.11740176,0.064444,-0.11423789
-0.11740671,0.064441286,-0.11424665,-0.117406175,0.0644261,-0.1142428,-0.1174047,0.06444512,-0.11424032,-0.117400005,0.06443575,-0.11423798
-0.117399365,0.06444848,-0.11424193,-0.117399,0.06444271,-0.114240825,-0.11740041,0.06444651,-0.11423491,-0.11740619,0.06443332,-0.11424332
-0.11740254,0.06443298,-0.11424204,-0.117413,0.064421356,-0.114241354,-0.11740969,0.064417414,-0.11424899,-0.11740821,0.06441948,-0.114242174
-0.11741805,0.06444774,-0.11424283,-0.11740478,0.064428285,-0.114248194,-0.117415294,0.06441336,-0.11424443,-0.1173972,0.064456955,-0.11424167
-0.11740209,0.06442011,-0.11424052,-0.11740486,0.064422,-0.11423838,-0.11740943,0.06443771,-0.11424332,-0.11740529,0.06442797,-0.11424585
-0.11741018,0.06443145,-0.114237696,-0.1174071,0.06443505,-0.114246935,-0.11740647,0.06442749,-0.11424331,-0.11740315,0.064441375,-0.11423857
-0.11740892,0.06442739,-0.114239156,-0.11741553,0.064430684,-0.11424244,-0.11740964,0.064418636,-0.11424789,-0.11740679,0.064428516,-0.114238925
-0.11741137,0.06443061,-0.11424495,-0.11740699,0.064434566,-0.11424315,-0.117404535,0.06444113,-0.1142452,-0.117404275,0.06444056,-0.11424326
-0.11740634,0.06442538,-0.114242755,-0.11740577,0.06443968,-0.114247106,-0.11740473,0.06440776,-0.1142444,-0.117414676,0.064424805,-0.11424405
-0.11741292,0.06441302,-0.114249215,-0.11740918,0.064441875,-0.11424241,-0.11741041,0.06444028,-0.11424236,-0.11740519,0.064439245,-0.114246525
-0.117403276,0.06444325,-0.11424317,-0.11740207,0.064440794,-0.114242785,-0.11741238,0.064434566,-0.11424676,-0.11740342,0.06444237,-0.114236146
-0.1174132,0.064428136,-0.114244096,-0.11740988,0.06443753,-0.114242956,-0.117411576,0.0644378,-0.11423945,-0.11740438,0.06444675,-0.11423958
-0.11741973,0.06441685,-0.11424944,-0.11741153,0.06442758,-0.114244774,-0.117410176,0.06443189,-0.11424121,-0.11740475,0.064448625,-0.11424092
-0.117404856,0.06442289,-0.11424901,-0.117409974,0.064423755,-0.11424427,-0.11740891,0.064418875,-0.11424485,-0.11740558,0.0644407,-0.114242665
-0.11740944,0.06442216,-0.1142422,-0.11739971,0.06444293,-0.114240706,-0.117398135,0.06444855,-0.11423273,-0.11739832,0.06445493,-0.114239156
-0.11741218,0.06441967,-0.11424313,-0.11740783,0.06442545,-0.114247814,-0.11740619,0.06442624,-0.114246696,-0.11740868,0.06443278,-0.114245325
-0.11740491,0.06443543,-0.11424008,-0.117408775,0.06443283,-0.11424319,-0.11740628,0.06441924,-0.11424455,-0.11741049,0.06443136,-0.114241704
-0.11740655,0.06442509,-0.11424413,-0.11740159,0.06443125,-0.11423836,-0.11741128,0.06442774,-0.114247195,-0.11740522,0.0644343,-0.114236526
-0.11741146,0.0644138,-0.114244014,-0.11740531,0.06443865,-0.11424021,-0.11741396,0.06443038,-0.11424528,-0.11740498,0.06443819,-0.114236005
-0.117392905,0.0644431,-0.114243045,-0.117405936,0.06443104,-0.11424175,-0.117399216,0.06442182,-0.11424161,-0.117403105,0.0644382,-0.114240795
-0.117395975,0.06442982,-0.11424076,-0.11740402,0.06441763,-0.114242636,-0.1174042,0.06441899,-0.11424638,-0.117405206,0.06443918,-0.11424082
-0.11739788,0.06443911,-0.11424192,-0.117409,0.06442791,-0.11424204,-0.11740201,0.064416625,-0.1142424,-0.1174007,0.06443383,-0.114242
-0.11740609,0.06442987,-0.114244975,-0.11740911,0.06443406,-0.11424037,-0.117409766,0.064428724,-0.11424529,-0.11740975,0.06442625,-0.11424052
