class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-1.3909342,1.4317706,4.639309,10.064457,-6.0500307,-23.987165,7.303258,-2.560584,-16.344173,10.145024,-7.3174834,-21.405716
9.8305025,-5.5165663,-22.082012,5.856455,-1.1683989,-14.488766,10.142853,-6.82454,-23.75659,10.532343,-6.566833,-24.396002
-8.157181,8.212155,20.70868,-0.033489108,2.218038,-0.24422562,7.684113,-4.507494,-14.732415,-6.2204947,5.5421844,18.347988
-7.412974,9.985362,21.266142,8.547947,-5.5857315,-18.744581,9.424573,-5.292529,-21.118502,10.803669,-6.8045754,-24.12817
7.023744,-2.6863887,-16.683945,6.819764,-2.966721,-15.682785,10.168644,-6.2654357,-21.261757,0.43618995,1.2591877,2.2164636
-9.369854,11.547924,22.017714,9.939742,-5.4195375,-22.998169,10.555475,-7.0000095,-23.916914,3.9551914,-0.9546087,-2.536717
-7.2110763,9.996097,16.150524,10.239865,-7.140215,-22.754715,-7.961966,7.7853956,19.469645,-7.4862676,6.6541376,17.702301
0.7574265,3.1885219,-0.233706,-2.9921827,5.9555616,8.004416,-8.529697,8.994097,16.983744,-11.18104,12.146247,22.20211
-2.4920087,6.484624,4.055661,10.360571,-7.4927425,-19.89378,5.2213416,-0.45245302,-12.786796,-6.0019794,8.243983,13.939138
-9.170324,9.585997,25.644873,5.7143154,-1.9887364,-12.910519,3.7456603,0.026645526,-7.196245,1.5355654,1.7502995,-5.873936
-5.1610675,9.243855,10.353649,-3.0546088,3.8326974,12.266805,3.4476628,-0.8480649,-3.4336858,-6.3122163,5.317458,21.26217
-8.20986,7.4640207,22.933676,10.665554,-6.7093515,-24.624619,-3.0883515,5.600357,12.145022,10.590365,-6.2700787,-23.619501
6.1620193,-4.257885,-14.673955,7.7036786,-4.0914936,-17.781364,4.3925676,-1.598259,-7.22314,-6.3954825,6.158058,12.886656
