class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.031988308,-0.05990949,-0.018005792,0.036973096,-0.05648117,-0.013521767,0.03503642,-0.05872422,-0.015040742,0.03610814,-0.056646835,-0.016775068
0.03731783,-0.06244623,-0.019690879,0.037263803,-0.058184955,-0.017056577,0.042720683,-0.06565923,-0.01781676,0.035591066,-0.063501716,-0.018607263
0.03627525,-0.055538762,-0.01392718,0.042471122,-0.061398122,-0.019552382,0.036142576,-0.057739235,-0.015598957,0.034584343,-0.057714947,-0.014777924
0.03864485,-0.057476666,-0.013328521,0.036665585,-0.058018755,-0.017734775,0.031478036,-0.05627668,-0.015646318,0.035723057,-0.06189991,-0.018471148
0.038263023,-0.060570654,-0.015931234,0.03528684,-0.06193874,-0.016848968,0.033854492,-0.060355544,-0.01911509,0.036396332,-0.06176589,-0.020773822
0.031396896,-0.056072425,-0.014391258,0.037521604,-0.060167763,-0.016362304,0.034239527,-0.062463358,-0.01900142,0.03910044,-0.05837712,-0.019412339
0.035467997,-0.061189063,-0.016398706,0.039048083,-0.061271865,-0.01870912,0.031005668,-0.057314105,-0.018133735,0.04003761,-0.06288428,-0.019215504
0.03788999,-0.06443127,-0.017092075,0.038884863,-0.059897587,-0.015115922,0.03262978,-0.05826514,-0.017132236,0.042609386,-0.05841499,-0.016042916
0.029993726,-0.061924383,-0.016733587,0.037133202,-0.06025081,-0.01686848,0.03801981,-0.059446618,-0.0163922,0.034101408,-0.059449766,-0.018132035
0.041251536,-0.06261213,-0.0153293,0.03545785,-0.05836014,-0.021408262,0.041538663,-0.06269407,-0.015069675,0.03110505,-0.056813367,-0.014274681
0.04065061,-0.05731457,-0.013788769,0.043039933,-0.062091444,-0.01711732,0.03761501,-0.06008224,-0.018269308,0.034702986,-0.06002219,-0.013730945
0.040393714,-0.058964185,-0.016207486,0.0364391,-0.059504826,-0.013498364,0.041046914,-0.062697165,-0.015275743,0.039958276,-0.059169468,-0.013052637
0.042443115,-0.06186469,-0.015266773,0.041698463,-0.06377593,-0.019098798,0.034626186,-0.05873221,-0.016120797,0.036950104,-0.06451604,-0.017792795
0.031165605,-0.0571229,-0.01670741,0.041608818,-0.062693484,-0.015124331,0.040957555,-0.06275938,-0.015272753,0.039001886,-0.06294665,-0.018639075
0.033863056,-0.063247114,-0.018237676,0.033128705,-0.058958367,-0.017426351,0.040767353,-0.06262541,-0.01723193,0.036176804,-0.06127663,-0.012467666
0.03757377,-0.062627435,-0.022371305,0.03381369,-0.05784457,-0.015554305,0.036782607,-0.057360202,-0.017997185,0.04001006,-0.062089637,-0.019948844
0.03502198,-0.062855154,-0.02002846,0.034754008,-0.062791705,-0.019860573,0.03869039,-0.06240085,-0.015782531,0.041622184,-0.06264758,-0.01512584
0.03579933,-0.06321393,-0.019660937,0.03590528,-0.06233515,-0.016342986,0.032406617,-0.060934626,-0.017531142,0.038814045,-0.057237774,-0.015266972
0.039951514,-0.062347546,-0.0147085795,0.035896208,-0.061731726,-0.0176666,0.036927707,-0.05604197,-0.01577048,0.032382283,-0.056830816,-0.017108176
0.035155825,-0.06374934,-0.020704053,0.03930207,-0.06524568,-0.018347811,0.0388291,-0.06538419,-0.018656729,0.03524377,-0.06527978,-0.020907547
0.036634207,-0.0570373,-0.017739577,0.03768336,-0.059613373,-0.017564254,0.035988417,-0.059116676,-0.014242576,0.036420792,-0.05693942,-0.017356647
0.041300055,-0.062615864,-0.01532281,0.03260053,-0.05786859,-0.016086305,0.0414386,-0.06265936,-0.015186228,0.037324507,-0.059589937,-0.022745082
0.03491207,-0.057563122,-0.016479682,0.036010124,-0.056996442,-0.018114967,0.036486596,-0.057271283,-0.01697245,0.03544756,-0.059367973,-0.014253033
0.030602818,-0.056544464,-0.015806349,0.041632526,-0.06271723,-0.015054697,0.0322775,-0.0556492,-0.016680848,0.036629833,-0.057126872,-0.01745744
0.03502822,-0.058008384,-0.015814032,0.03494569,-0.057464473,-0.014172639,0.040195428,-0.061623823,-0.016601052,0.037448417,-0.060724758,-0.01491251
0.037091073,-0.06092562,-0.015877325,0.03583748,-0.0589969,-0.014724175,0.03889859,-0.064116195,-0.015184845,0.0355471,-0.063615665,-0.018463235
0.03749618,-0.06301659,-0.021775004,0.03523318,-0.05793531,-0.02010268,0.03443853,-0.05830964,-0.016003808,0.03730222,-0.06301199,-0.016775621
0.036709208,-0.060152598,-0.014224299,0.03812872,-0.06101955,-0.015595118,0.03924845,-0.059748787,-0.02088001,0.03574417,-0.057421908,-0.015163135
0.041308526,-0.06262479,-0.015320144,0.04078383,-0.06103606,-0.019751903,0.03568328,-0.063484855,-0.018549623,0.03785002,-0.057777297,-0.017905828
0.035548434,-0.058673266,-0.01837463,0.03897017,-0.059633076,-0.014379194,0.035927497,-0.058235724,-0.016007641,0.040974975,-0.06277095,-0.015268605
0.037626628,-0.058338627,-0.013202652,0.03692905,-0.06271994,-0.016377404,0.035507675,-0.06350831,-0.018572476,0.040977746,-0.062765926,-0.01526116
0.031293564,-0.058730688,-0.014820427,0.034367833,-0.063879885,-0.017843204,0.03870377,-0.055973694,-0.014711278,0.03765318,-0.06244071,-0.018894
0.039811753,-0.06047609,-0.015153028,0.036734495,-0.06320682,-0.019091727,0.036789116,-0.060170367,-0.01832308,0.035697427,-0.05828238,-0.015611075
0.03441457,-0.057993345,-0.017872669,0.03984046,-0.056122996,-0.014224945,0.037087012,-0.060696207,-0.01646823,0.035323214,-0.062223546,-0.016536979
0.041589003,-0.06274365,-0.01514913,0.03609018,-0.06230115,-0.01899856,0.037059028,-0.057549044,-0.017344378,0.035541527,-0.06361747,-0.01851929
0.033774607,-0.05781894,-0.017297698,0.03731155,-0.06157004,-0.018417928,0.032024186,-0.056053765,-0.014987607,0.041065924,-0.06265017,-0.015254854
0.036679417,-0.05700986,-0.01788343,0.0365016,-0.05917511,-0.01852773,0.037221108,-0.059701975,-0.017204283,0.040920723,-0.058777325,-0.017637001
0.036477856,-0.058611862,-0.017010298,0.03473754,-0.06276011,-0.019829057,0.04105271,-0.06268398,-0.015272422,0.037895713,-0.06005331,-0.014751559
0.036888767,-0.05999624,-0.012214679,0.035032135,-0.058743827,-0.014965164,0.034646917,-0.058324948,-0.012078529,0.03349131,-0.0601657,-0.01818729
0.03947394,-0.058498405,-0.011402114,0.037349783,-0.060619928,-0.01704186,0.040190566,-0.055154108,-0.01390795,0.036665656,-0.0579149,-0.015841478
0.041492425,-0.06268093,-0.015245521,0.041558854,-0.06275533,-0.019204615,0.038604215,-0.058351904,-0.016891092,0.038981717,-0.06227743,-0.021018665
0.030458301,-0.058118183,-0.015573958,0.0412609,-0.06257486,-0.015290943,0.036167275,-0.056969788,-0.016597923,0.03653685,-0.05821585,-0.013626533
0.036143895,-0.05873751,-0.015894126,0.034834266,-0.06280557,-0.020023935,0.035691492,-0.06349361,-0.018494891,0.03525621,-0.061782483,-0.015291409
0.039030287,-0.062267594,-0.016650438,0.037085395,-0.057778057,-0.017207716,0.030923221,-0.055638343,-0.016037885,0.036912706,-0.061402243,-0.018069379
0.03677289,-0.061568785,-0.014748751,0.037713896,-0.06256641,-0.021268107,0.03479034,-0.055910308,-0.01564843,0.0369602,-0.065409146,-0.021208044
0.035247933,-0.05988805,-0.01578232,0.035258412,-0.06363277,-0.018706104,0.041062098,-0.06267686,-0.015267462,0.034718875,-0.059523836,-0.019528652
0.03357171,-0.05680324,-0.016454164,0.033965595,-0.0570307,-0.015323758,0.037233017,-0.06323099,-0.017013349,0.035919506,-0.061148807,-0.013832849
0.033076566,-0.05685986,-0.018237088,0.03870195,-0.05774449,-0.0181148,0.034850482,-0.059988163,-0.011177383,0.04091918,-0.055837758,-0.014867695
0.03229076,-0.05633569,-0.015269761,0.036360953,-0.055322357,-0.01598953,0.03621716,-0.055927824,-0.0145769715,0.041609414,-0.06255126,-0.017376529
0.036478568,-0.05959324,-0.013459144,0.04119414,-0.0568495,-0.01592744,0.040394906,-0.06130318,-0.01959769,0.034747988,-0.058864973,-0.014668191
0.036742106,-0.057144247,-0.01810953,0.037680637,-0.060743988,-0.019503284,0.036921337,-0.061456364,-0.014943982,0.034035318,-0.06436947,-0.020018911
