class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.054550555,0.07769126,-0.06305581,-0.054438706,0.07763091,-0.06291935,-0.05455731,0.07775666,-0.06334096,-0.054454397,0.077652924,-0.062979355
-0.054438926,0.07762666,-0.06291193,-0.054438885,0.07762748,-0.06291214,-0.05449008,0.077664964,-0.062992334,-0.054446597,0.07763931,-0.06294216
-0.054455396,0.07762896,-0.06291336,-0.054387923,0.07748118,-0.062768236,-0.054438405,0.07763184,-0.062925905,-0.054243185,0.07733205,-0.06252086
-0.054019995,0.07703299,-0.061652485,-0.054440934,0.07762908,-0.06291659,-0.05466088,0.07786193,-0.06344345,-0.05450153,0.07761367,-0.06300652
-0.05405009,0.07704802,-0.06179792,-0.05444136,0.07763477,-0.062934116,-0.054439534,0.07763319,-0.0629261,-0.053917486,0.07678253,-0.06103078
-0.054554123,0.0777117,-0.06309433,-0.05443863,0.07763175,-0.06292465,-0.05446298,0.077865735,-0.064139366,-0.054455962,0.077642895,-0.06294809
-0.05443949,0.077627495,-0.06291041,-0.05445097,0.07763982,-0.062943235,-0.054635864,0.07783829,-0.06339431,-0.05443788,0.07763145,-0.06292249
-0.054378368,0.077611074,-0.06295878,-0.040664148,0.10144093,-0.08093518,-0.054432105,0.07762644,-0.06291756,-0.097007826,0.08736655,-0.11792636
-0.054450184,0.0776351,-0.062924236,-0.05458391,0.07769106,-0.06300169,-0.09740925,0.09653181,-0.08967695,-0.054438755,0.07763006,-0.06291728
-0.054467473,0.07765655,-0.0629807,-0.05445685,0.07765637,-0.06299484,-0.054444116,0.07763254,-0.06292239,-0.053959366,0.07724586,-0.062424768
-0.05448136,0.077679396,-0.06303285,-0.044016548,0.120503664,-0.09177922,-0.03611194,0.098671585,-0.080427766,-0.0544398,0.07762957,-0.06291713
-0.054448348,0.077625655,-0.06291124,-0.054410227,0.07764065,-0.06297073,-0.055588465,0.078246176,-0.065171346,-0.0545213,0.0778396,-0.06358646
-0.05445386,0.077652134,-0.062971145,-0.052514773,0.07805842,-0.06672215,-0.054433715,0.077627346,-0.062912464,-0.06420885,0.06586794,-0.1670126
-0.054459114,0.0776669,-0.063007295,-0.061146516,0.09564156,-0.08124344,-0.054499783,0.07765206,-0.0629731,-0.054455973,0.077644035,-0.06294821
-0.054042954,0.07714982,-0.062076557,-0.0544306,0.077621445,-0.06289986,-0.051537253,0.111853875,-0.08473337,-0.054466236,0.077659264,-0.06298916
-0.055339642,0.078121915,-0.06429647,-0.011827398,0.032918133,-0.14958525,-0.05448165,0.07766387,-0.0629935,-0.054019418,0.07722884,-0.062346715
-0.054021668,0.07793841,-0.06529428,-0.107244775,0.09313219,-0.108697176,-0.054452237,0.07763325,-0.06291893,-0.054433376,0.07763925,-0.062937826
-0.054446723,0.07762338,-0.06289525,-0.059047088,0.13791311,-0.14207646,-0.05980611,0.0974277,-0.081748426,-0.05447183,0.07765372,-0.0629721
-0.054416757,0.07762329,-0.06291643,-0.08146764,0.09427804,-0.08432734,-0.054455925,0.07764532,-0.06295574,-0.054440353,0.077629596,-0.06291647
-0.063497916,0.09644633,-0.08195934,-0.0544603,0.077651024,-0.062981695,-0.054532427,0.07770103,-0.06307714,-0.054374043,0.07761048,-0.06412195
-0.05442691,0.077616915,-0.06288892,-0.05449648,0.07766618,-0.0630147,-0.05445155,0.07764167,-0.06294623,-0.054449107,0.07764142,-0.062944055
-0.054480657,0.07766251,-0.06304437,-0.054431494,0.07762845,-0.0629182,-0.054442912,0.077638626,-0.06293592,-0.054439932,0.07763612,-0.0629344
-0.05447533,0.07765783,-0.06298499,-0.05446204,0.077650115,-0.06296994,-0.054607075,0.077743776,-0.063197464,-0.054539442,0.07770283,-0.06398894
-0.05445047,0.07763825,-0.06292412,-0.054495756,0.07766145,-0.06298439,-0.054445647,0.07762758,-0.062909186,-0.054802876,0.07781104,-0.0634086
-0.054478187,0.07766619,-0.063008204,-0.054514382,0.07765184,-0.06293264,-0.05457634,0.077715814,-0.06319022,-0.053908125,0.077206835,-0.062266145
-0.054447886,0.07763761,-0.06292559,-0.055103246,0.078071624,-0.063852414,-0.053876914,0.07721156,-0.0626903,-0.054445904,0.077635065,-0.062929094
-0.054427046,0.07728682,-0.06212302,-0.054440662,0.07763296,-0.06292705,-0.054443043,0.0776356,-0.06298648,-0.053957976,0.07720609,-0.062321756
-0.05443456,0.07762838,-0.06291926,-0.05445257,0.07764522,-0.062939435,-0.054496538,0.07767568,-0.06302443,-0.05384655,0.07677355,-0.061006833
-0.054605406,0.07772294,-0.06311317,-0.054439947,0.07763075,-0.06292021,-0.05443695,0.077635005,-0.062928006,-0.054520827,0.07767781,-0.06301203
-0.05444742,0.07763357,-0.06292477,-0.054437052,0.07763027,-0.06291939,-0.054440226,0.07763059,-0.06291807,-0.054441962,0.07763444,-0.06292811
-0.0544696,0.077663034,-0.0630005,-0.054296862,0.07745129,-0.06285204,-0.05443856,0.07762961,-0.06291747,-0.054611687,0.07774903,-0.063155934
-0.054448675,0.0776387,-0.062938675,-0.054442547,0.07763764,-0.06293839,-0.054463897,0.077649325,-0.062963694,-0.054441705,0.07764109,-0.06294687
-0.054432828,0.07765252,-0.062982276,-0.054445464,0.07764019,-0.0629437,-0.054502834,0.0777226,-0.06311458,-0.05444147,0.07763314,-0.06292291
