class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.08498287,0.04254248,0.032314993,-0.084680565,0.04253556,0.03219589,-0.08464543,0.042531777,0.03228159,-0.08351444,0.0433176,0.031712025
-0.08466208,0.04254277,0.032233678,-0.08484322,0.0423879,0.03205328,-0.08455365,0.04261022,0.03264553,-0.08466215,0.042900518,0.032225706
-0.0850563,0.04265596,0.03202798,-0.08506444,0.042652696,0.031716093,-0.08469032,0.042581555,0.03227083,-0.08467165,0.04252547,0.03222992
-0.084956944,0.04237895,0.032400884,-0.084680595,0.042504415,0.032261536,-0.08446341,0.04263302,0.032557614,-0.084640026,0.042436544,0.032112412
-0.0847544,0.042489972,0.032218326,-0.08415314,0.04256268,0.032603722,-0.08494525,0.042704303,0.032053947,-0.08473327,0.04255811,0.032221448
-0.08489737,0.042585865,0.032049384,-0.08462298,0.04280985,0.032147408,-0.083866835,0.041709993,0.032941435,-0.084457874,0.043374386,0.032154806
-0.084701516,0.042470492,0.032181077,-0.08470583,0.042575847,0.032233704,-0.0844121,0.04202609,0.032145746,-0.08460257,0.042430542,0.032148574
-0.0844666,0.042860612,0.03252424,-0.08325956,0.043868557,0.031785827,-0.08470051,0.042507853,0.03218347,-0.084689386,0.042530246,0.03221681
-0.08488366,0.042287603,0.031895638,-0.08470057,0.04254695,0.031959996,-0.08500352,0.042780634,0.032848667,-0.084230766,0.042816266,0.031491075
-0.085283756,0.042414088,0.03213414,-0.08499564,0.041820817,0.03237025,-0.08385263,0.042490296,0.03502495,-0.084750675,0.042506415,0.032521818
-0.08466961,0.0425657,0.032222845,-0.08453012,0.042600524,0.03230745,-0.08466954,0.04252903,0.032224044,-0.084681064,0.042536486,0.032219168
-0.084666386,0.042623848,0.032221552,-0.08466761,0.042536423,0.032232925,-0.08466963,0.042531148,0.032227576,-0.08460971,0.042610563,0.032180943
-0.08467358,0.042541414,0.03224301,-0.084597975,0.04265762,0.032473188,-0.08460388,0.042545307,0.032394383,-0.084927514,0.04229816,0.031886432
-0.08465293,0.04247344,0.032192737,-0.084733866,0.042377193,0.03216484,-0.084676854,0.042584624,0.032216623,-0.08475153,0.042569056,0.032243915
-0.08467154,0.04250084,0.032221194,-0.08481305,0.04252673,0.032145243,-0.08469337,0.042579446,0.03223493,-0.08466868,0.04255024,0.03218238
-0.08470059,0.042499095,0.032241244,-0.08196797,0.040959958,0.030773718,-0.08460264,0.042563997,0.032252975,-0.08463362,0.042539466,0.03225164
-0.08468638,0.042523988,0.03225932,-0.084749825,0.042630605,0.032152195,-0.0845811,0.04243542,0.032086506,-0.08450507,0.042780295,0.0324107
-0.08466843,0.04255059,0.03221521,-0.08464266,0.042526383,0.032223433,-0.08505153,0.042373788,0.03211212,-0.084793806,0.0422438,0.03195054
-0.084761254,0.04257502,0.03216964,-0.084677145,0.042535715,0.032227036,-0.08468155,0.042545926,0.032208737,-0.08467648,0.042601496,0.03232343
-0.08462156,0.042557705,0.032241758,-0.08466312,0.04253827,0.032230306,-0.08465624,0.042538,0.03222411,-0.0846646,0.04253522,0.032220785
-0.084644765,0.042540908,0.032246366,-0.08466363,0.042566564,0.032217056,-0.08454781,0.04314011,0.032117896,-0.08468998,0.042520083,0.032237943
