class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.06247198,-0.067512505,0.1292474,0.0627585,-0.06748606,0.12930259,0.06250646,-0.06754562,0.12930414,0.06257993,-0.067367665,0.12926081
0.063837826,-0.066879995,0.12990347,0.062391218,-0.06741081,0.12928943,0.06254684,-0.06745524,0.12930273,0.06253292,-0.06774966,0.1293119
0.06249508,-0.06750253,0.12924452,0.062596545,-0.067991,0.12956023,0.062443472,-0.06758762,0.12913647,0.06246872,-0.06755922,0.1290984
0.06264366,-0.06743711,0.12927596,0.06251774,-0.06725625,0.12909818,0.062160976,-0.06732647,0.12815826,0.06227826,-0.06753849,0.12922668
0.06255304,-0.06755501,0.12938838,0.063468195,-0.067741185,0.1301332,0.062453136,-0.067792706,0.12898782,0.06261668,-0.067552164,0.12932855
0.06270852,-0.067568876,0.12954439,0.06257144,-0.06764019,0.12936498,0.0625088,-0.067503296,0.12926061,0.062059943,-0.067357644,0.12920329
0.062679045,-0.06785666,0.12955798,0.06249522,-0.06751691,0.12925442,0.062376067,-0.06743431,0.12930721,0.062331926,-0.06785111,0.12875587
0.062459733,-0.06760105,0.12949216,0.06324534,-0.06698255,0.12981059,0.06250948,-0.06750527,0.12977295,0.062411692,-0.067541376,0.1293431
0.06272046,-0.0676244,0.12960933,0.0625003,-0.06752051,0.12928128,0.06248127,-0.06749277,0.12923399,0.062485434,-0.06753408,0.12921424
0.06251906,-0.06750151,0.12921955,0.062638886,-0.06763895,0.12967576,0.062450685,-0.06737484,0.12914921,0.062391203,-0.0675722,0.12948258
0.06261977,-0.06724105,0.12974449,0.06270474,-0.06756448,0.12959328,0.062347174,-0.06762091,0.1294512,0.06255551,-0.06763884,0.12925228
0.06256735,-0.06748601,0.12934618,0.062524,-0.06753632,0.12932645,0.065058365,-0.0687588,0.13097453,0.062760666,-0.067654006,0.12967455
0.06250441,-0.06752554,0.1292337,0.062523484,-0.06750915,0.12928943,0.063559934,-0.06700442,0.13037094,0.06264329,-0.06745378,0.12947239
0.062284723,-0.067694105,0.12903526,0.06277245,-0.068535574,0.12959196,0.06250526,-0.0676634,0.12895724,0.06266706,-0.06750858,0.1292328
0.06296878,-0.06744814,0.12944111,0.06255779,-0.06745028,0.12938966,0.0625174,-0.067532115,0.12930284,0.0624832,-0.06753735,0.12923373
0.062487684,-0.068151645,0.1298845,0.06253179,-0.06744235,0.12926914,0.06255623,-0.06747585,0.12913014,0.062375072,-0.067275524,0.12964743
0.062495667,-0.067517765,0.12923402,0.062251534,-0.06781036,0.12939343,0.06253752,-0.06755829,0.12914264,0.0633945,-0.066709444,0.13101846
0.06260861,-0.06767743,0.129361,0.062512025,-0.067507565,0.12926541,0.06251046,-0.067509264,0.12926878,0.0626735,-0.06730579,0.12924401
0.062692106,-0.06763289,0.12947263,0.063054785,-0.06706894,0.13001908,0.062520325,-0.06741343,0.12922859,0.06250968,-0.06751608,0.12932636
0.06265435,-0.06746917,0.12939765,0.063279614,-0.06787911,0.13042125,0.06280618,-0.06762806,0.12974471,0.0631187,-0.066429675,0.12999208
0.06243377,-0.067497745,0.12911783,0.06250447,-0.067490704,0.12922712,0.062441804,-0.06757864,0.12953243,0.062375262,-0.06729453,0.12912372
0.06366964,-0.067788504,0.13100578,0.06253066,-0.067570135,0.12929171,0.062652215,-0.06748608,0.12925461,0.062479645,-0.06753365,0.12952268
0.06258394,-0.06794317,0.1299869,0.06262162,-0.06731165,0.129274,0.062447887,-0.067523666,0.12927625,0.06253236,-0.06745517,0.12956919
0.06254296,-0.06750288,0.12928852,0.062479384,-0.06748243,0.12926365,0.062501736,-0.067508094,0.12925462,0.06250082,-0.067354485,0.12926078
